learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.115926121,1.0752555738010753E-8,1000.0,1000.0,0.0,0.0,?,0.0,0.999,?,0.0,0.0,1.0,22560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.1843987,1.7456772850553195E-8,2000.0,2000.0,0.0,0.0,?,0.0,0.9995,?,0.0,0.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.22155854,2.1095129092799295E-8,3000.0,3000.0,0.0,0.0,?,0.0,0.9996666666666667,?,0.0,4.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.253482433,2.4220828648377212E-8,4000.0,4000.0,0.0,0.0,?,0.0,0.99975,?,0.0,4.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.287788615,2.757978044761345E-8,5000.0,5000.0,0.0,0.0,?,0.0,0.9998,?,0.0,2.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.326401991,3.136045381982915E-8,6000.0,6000.0,0.0,0.0,?,0.0,0.9998333333333334,?,0.0,0.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.357541028,3.44093073575861E-8,7000.0,7000.0,0.0,0.0,?,0.0,0.9998571428571429,?,0.0,0.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.37480979,3.610010871783313E-8,8000.0,8000.0,0.0,0.0,?,0.0,0.999875,?,0.0,1.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.392262384,3.7808909248817303E-8,9000.0,9000.0,0.0,0.0,?,0.0,0.9998888888888889,?,0.0,4.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.409375739,3.948449455785048E-8,10000.0,10000.0,0.0,0.0,?,0.0,0.9999,?,0.0,5.0,1.0,22560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.454065098,4.397170801142645E-8,11000.0,10003.0,0.0,0.0,?,0.0,1.0795761271618514,?,0.0,1.0,201.0,30560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
