learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.03455119,3.058583475380308E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
3000.0,0.107662785,9.956602923427191E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.152124791,1.4153489376074739E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.181555785,1.6931558813754883E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
6000.0,0.212669187,1.9887173406634892E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
7000.0,0.246018473,2.3055185582343903E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
8000.0,0.28249728,2.6522071732367494E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,7000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
9000.0,0.299466109,2.8134761485138703E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
10000.0,0.314445898,2.9558416129721123E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,9000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
11000.0,0.330794339,3.112063776330609E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,18128.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
12000.0,0.348306597,3.2794796099561376E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,11000.0,18288.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
13000.0,0.371744727,3.5061414834221625E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,12000.0,22352.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
14000.0,0.39538977,3.73764751613492E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,26952.0,0.0,0.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
15000.0,0.416528584,3.9448297046735475E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14000.0,27344.0,0.0,0.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
16000.0,0.439094414,4.167090957906719E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,15000.0,29192.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
17000.0,0.461482347,4.388813977538298E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16000.0,31264.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
18000.0,0.48269469,4.5988943249924735E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,17000.0,31264.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
19000.0,0.504030622,4.8101986588804675E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,18000.0,31264.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
20000.0,0.525676343,5.024571045211206E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,19000.0,31264.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
21000.0,0.555900816,5.300610041469129E-8,20000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,65.0,2320.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.577310853,5.496333222506361E-8,21000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,1065.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.600710464,5.7145738639187894E-8,22000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,2065.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
24000.0,0.623427627,5.927916418258514E-8,23000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,3065.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
25000.0,0.644350258,6.124406074165262E-8,24000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,4065.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
26000.0,0.666396304,6.332773735785442E-8,25000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,0.0,5065.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
27000.0,0.687160508,6.529026099265242E-8,26000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,6065.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
28000.0,0.709171081,6.738388642366354E-8,27000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,7065.0,15984.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
29000.0,0.730195329,6.938456376720426E-8,28000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,0.0,8065.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
30000.0,0.750990818,7.136347229654382E-8,29000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,9065.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
31000.0,0.77185506,7.334892339375076E-8,30000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,0.0,10065.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
32000.0,0.793577541,7.542660980666262E-8,31000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,0.0,11065.0,18000.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
33000.0,0.814938486,7.747219213692056E-8,32000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,12065.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
34000.0,0.837159702,7.961473492590295E-8,33000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,13065.0,20784.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
35000.0,0.860971276,8.194954976118479E-8,34000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,1.0,14065.0,27040.0,0.0,0.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
36000.0,0.882251261,8.403613272594701E-8,35000.0,6.0,0.0,1.0,776.0,129.33333333333334,25.6,0.0,1.0,0.0,15065.0,27040.0,0.0,0.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
