learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.033214903,2.8564948159414858E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,72.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.095418731,8.46957412008196E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,72.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.130634435,1.1647329342849553E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,72.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.157572316,1.4078119652707957E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,72.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.198170906,1.7741609708437074E-8,5000.0,3.0,0.0,0.0,?,0.0,236.33333333333334,?,0.0,1.0,148.0,2320.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.238037226,2.1339022004738862E-8,6000.0,5.0,0.0,0.0,?,0.0,361.4,?,0.0,0.0,52.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.279060608,2.5065550512590753E-8,7000.0,6.0,0.0,0.0,?,0.0,442.8333333333333,?,0.0,0.0,239.0,4624.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
9000.0,0.318573272,2.8642089705982554E-8,8000.0,9.0,0.0,0.0,?,0.0,385.3333333333333,?,0.0,1.0,367.0,2320.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.347649123,3.127392745508295E-8,9000.0,12.0,0.0,0.0,?,0.0,394.0,?,0.0,1.0,107.0,2320.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.365357569,3.287683003773499E-8,10000.0,14.0,0.0,0.0,?,0.0,412.5,?,0.0,1.0,60.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.38271459,3.447860048838581E-8,11000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,0.0,617.0,6704.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
13000.0,0.403361579,3.639675802869102E-8,12000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,0.0,1617.0,9072.0,0.0,1.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.439114243,3.973980324250957E-8,13000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,0.0,2617.0,11376.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.474800092,4.3099570037207256E-8,14000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,1.0,3617.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
16000.0,0.511480916,4.6572977773661E-8,15000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,1.0,4617.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
17000.0,0.539710245,4.9263091552000905E-8,16000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,1.0,5617.0,18224.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
18000.0,0.56160049,5.135039086640088E-8,17000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,0.0,6617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
19000.0,0.58304205,5.339490674494248E-8,18000.0,15.0,0.0,0.0,?,0.0,414.53333333333336,?,0.0,0.0,7617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
20000.0,0.605680334,5.555353378051892E-8,19000.0,15.0,0.0,1.0,0.0,0.0,414.53333333333336,1.0,0.0,1.0,8617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
21000.0,0.626923621,5.757914374471539E-8,20000.0,15.0,0.0,1.0,0.0,0.0,414.53333333333336,1.0,0.0,0.0,9617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
22000.0,0.643526501,5.917158918182883E-8,21000.0,15.0,0.0,1.0,0.0,0.0,414.53333333333336,1.0,0.0,0.0,10617.0,20592.0,0.0,0.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
23000.0,0.660971151,6.086473724646287E-8,22000.0,15.0,0.0,1.0,0.0,0.0,414.53333333333336,1.0,0.0,0.0,11617.0,24968.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
24000.0,0.677978366,6.253763869664321E-8,23000.0,15.0,1.0,1.0,0.0,0.0,414.53333333333336,1.0,0.0,0.0,12617.0,29968.0,0.0,1.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
25000.0,0.695808074,6.4173325639156E-8,24000.0,17.0,1.0,1.0,4011.0,235.94117647058823,1177.8125,0.0,1.0,0.0,920.0,4624.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26000.0,0.712861943,6.576667340659847E-8,25000.0,17.0,1.0,1.0,4011.0,235.94117647058823,1177.8125,0.0,1.0,0.0,1920.0,11088.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
27000.0,0.727676631,6.715167236047073E-8,26000.0,17.0,1.0,1.0,4011.0,235.94117647058823,1177.8125,0.0,1.0,0.0,2920.0,11312.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
28000.0,0.744813649,6.87737142159169E-8,27000.0,17.0,1.0,1.0,4011.0,235.94117647058823,1177.8125,0.0,1.0,0.0,3920.0,15760.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
