learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.057272533,5.586511047397637E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,188.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.135298902,1.4254316553612136E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1188.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.194800254,2.1480426338453674E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2188.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
5000.0,0.255667617,2.768326017746288E-8,4000.0,2.0,0.0,0.0,?,0.0,10.5,?,0.0,0.0,11.0,2320.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.298541416,3.2454017346478585E-8,5000.0,2.0,0.0,0.0,?,0.0,10.5,?,0.0,1.0,1011.0,6704.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.332912785,3.598395847957167E-8,6000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,1.0,110.0,2320.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.354768943,3.840599317885521E-8,7000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,1.0,1110.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.382348472,4.1746983711783664E-8,8000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,0.0,2110.0,9072.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.408441666,4.514385674091469E-8,9000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,1.0,3110.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.44298804,4.990250741450529E-8,10000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,0.0,4110.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
12000.0,0.482657002,5.575231535034667E-8,11000.0,4.0,0.0,0.0,?,0.0,480.5,?,0.0,1.0,5110.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
