learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.089443239,8.626415457657227E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,16.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.192213179,1.9144522343905022E-8,2000.0,31.0,0.0,0.0,?,0.0,31.322580645161292,?,0.0,1.0,24.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.259777932,2.605308186725817E-8,3000.0,65.0,0.0,0.0,?,0.0,30.49230769230769,?,0.0,0.0,13.0,2320.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.31985057,3.220426845452231E-8,4000.0,96.0,0.0,0.0,?,0.0,30.864583333333332,?,0.0,1.0,32.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.375285384,3.787987291503491E-8,5000.0,128.0,0.0,0.0,?,0.0,30.9765625,?,0.0,1.0,30.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.416615018,4.210381398741777E-8,6000.0,160.0,0.0,0.0,?,0.0,31.18125,?,0.0,1.0,6.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.448717539,4.538672558206858E-8,7000.0,192.0,0.0,0.0,?,0.0,31.145833333333332,?,0.0,0.0,15.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.476507224,4.8230892632912013E-8,8000.0,224.0,0.0,0.0,?,0.0,31.120535714285715,?,0.0,1.0,24.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.515804809,5.225024627659263E-8,9000.0,257.0,0.0,0.0,?,0.0,31.105058365758754,?,0.0,0.0,1.0,2160.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.552730794,5.602779709675039E-8,10000.0,288.0,0.0,0.0,?,0.0,31.163194444444443,?,0.0,1.0,20.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.591591031,6.000426860775799E-8,11000.0,325.0,0.0,0.0,?,0.0,30.68307692307692,?,0.0,0.0,23.0,2320.0,37.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.62852354,6.378271614429645E-8,12000.0,357.0,0.0,0.0,?,0.0,30.73949579831933,?,0.0,1.0,21.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.666359519,6.76500710730234E-8,13000.0,389.0,0.0,0.0,?,0.0,30.81491002570694,?,0.0,1.0,8.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.703117513,7.140975164027886E-8,14000.0,421.0,0.0,0.0,?,0.0,30.826603325415675,?,0.0,0.0,17.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.741426539,7.533505188127982E-8,15000.0,455.0,0.0,0.0,?,0.0,30.672527472527474,?,0.0,0.0,39.0,2320.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.77893419,7.916791568187171E-8,16000.0,487.0,0.0,0.0,?,0.0,30.782340862423,?,0.0,0.0,4.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.821057051,8.347240249455597E-8,17000.0,521.0,0.0,0.0,?,0.0,30.69289827255278,?,0.0,1.0,4.0,2320.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.858754729,8.733201875317222E-8,18000.0,548.0,0.0,0.0,?,0.0,30.958029197080293,?,0.0,0.0,30.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.895661455,9.111019636649019E-8,19000.0,580.0,0.0,1.0,0.0,0.0,30.97758620689655,1.0,0.0,1.0,28.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.929966872,9.463180225511393E-8,20000.0,605.0,0.0,1.0,5.0,0.008264462809917356,31.29139072847682,0.0,1.0,0.0,63.0,2320.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.968568155,9.857642305440374E-8,21000.0,635.0,0.0,1.0,5.0,0.007874015748031496,31.481072555205046,0.0,1.0,0.0,4.0,2320.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.005917589,1.0239041339030284E-7,22000.0,667.0,0.0,1.0,5.0,0.0074962518740629685,31.472972972972972,0.0,1.0,1.0,2.0,2088.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.036895333,1.0556028897524295E-7,23000.0,700.0,0.0,1.0,5.0,0.007142857142857143,31.38769670958512,0.0,1.0,0.0,23.0,2320.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.061819023,1.0810968819254389E-7,24000.0,729.0,0.0,1.0,5.0,0.006858710562414266,31.517857142857142,0.0,1.0,1.0,18.0,2320.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.087713959,1.1076057810061923E-7,25000.0,762.0,0.0,1.0,5.0,0.006561679790026247,31.45203679369251,0.0,1.0,0.0,28.0,2320.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.112513053,1.1329461507651543E-7,26000.0,793.0,0.0,1.0,5.0,0.006305170239596469,31.515151515151516,0.0,1.0,0.0,3.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.137905126,1.1589223965407661E-7,27000.0,822.0,0.0,1.0,5.0,0.006082725060827251,31.599269183922047,0.0,1.0,0.0,20.0,2320.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.163345686,1.1849466652556842E-7,28000.0,855.0,0.0,1.0,5.0,0.005847953216374269,31.550351288056206,0.0,1.0,0.0,19.0,2320.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.189295435,1.211495028158091E-7,29000.0,891.0,0.0,1.0,5.0,0.005611672278338945,31.395505617977527,0.0,1.0,1.0,21.0,2320.0,36.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.222644179,1.245594432466291E-7,30000.0,928.0,0.0,1.0,5.0,0.005387931034482759,31.22977346278317,0.0,1.0,1.0,13.0,2320.0,37.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.260430205,1.2842028465587024E-7,31000.0,962.0,0.0,1.0,5.0,0.005197505197505198,31.176899063475545,0.0,1.0,0.0,2.0,2320.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.289999217,1.3145922657341384E-7,32000.0,992.0,0.0,1.0,5.0,0.005040322580645161,31.168516649848637,0.0,1.0,1.0,75.0,2320.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.320187597,1.3454926567192498E-7,33000.0,1021.0,0.0,1.0,5.0,0.004897159647404506,31.31078431372549,0.0,1.0,0.0,26.0,2320.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.351260995,1.3772892929305012E-7,34000.0,1052.0,0.0,1.0,5.0,0.004752851711026616,31.341579448144625,0.0,1.0,1.0,23.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.383291761,1.4100390636094534E-7,35000.0,1086.0,0.0,1.0,5.0,0.004604051565377533,31.291244239631336,0.0,1.0,0.0,12.0,2320.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.412685862,1.4402079598770994E-7,36000.0,1113.0,0.0,1.0,5.0,0.004492362982929021,31.387589928057555,0.0,1.0,0.0,60.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.444041541,1.4722992876732308E-7,37000.0,1144.0,0.0,1.0,5.0,0.004370629370629371,31.442694663167103,0.0,1.0,1.0,24.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.473068038,1.501984560389527E-7,38000.0,1170.0,0.0,1.0,5.0,0.004273504273504274,31.605645851154833,0.0,1.0,1.0,16.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.504472351,1.5342946490276605E-7,39000.0,1201.0,0.0,2.0,2.5,0.004163197335553705,31.560833333333335,0.5,1.0,0.0,90.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.532062432,1.5624703639059017E-7,40000.0,1225.0,0.0,2.0,7.0,0.011428571428571429,31.82992641046607,0.0,2.0,0.0,3.0,2088.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.555421666,1.5863626519713964E-7,41000.0,1251.0,0.0,2.0,7.0,0.011191047162270184,31.956765412329865,0.0,2.0,1.0,17.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.584133903,1.6157336631085102E-7,42000.0,1276.0,0.0,2.0,7.0,0.0109717868338558,32.11302982731554,0.0,2.0,1.0,19.0,2320.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.613964209,1.6462767952501152E-7,43000.0,1300.0,0.0,2.0,7.0,0.010769230769230769,32.280431432973806,0.0,2.0,1.0,31.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.637580637,1.6704248149382777E-7,44000.0,1327.0,0.0,2.0,7.0,0.010550113036925395,32.39094339622641,0.0,2.0,0.0,13.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.661026038,1.6943707851786372E-7,45000.0,1353.0,0.0,2.0,7.0,0.010347376201034738,32.513693560325684,0.0,2.0,1.0,5.0,2088.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.68437103,1.718231112869477E-7,46000.0,1378.0,0.0,2.0,7.0,0.010159651669085631,32.64825581395349,0.0,2.0,0.0,7.0,2320.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.709258055,1.743665968418142E-7,47000.0,1411.0,0.0,2.0,7.0,0.009922041105598866,32.594038325053226,0.0,2.0,0.0,6.0,2320.0,33.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.734107502,1.769042875921747E-7,48000.0,1442.0,0.0,2.0,7.0,0.009708737864077669,32.58888888888889,0.0,2.0,1.0,3.0,2088.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.75675303,1.7921840810365355E-7,49000.0,1466.0,0.0,2.0,7.0,0.009549795361527967,32.737021857923494,0.0,2.0,0.0,4.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.777498532,1.8134068562975569E-7,50000.0,1483.0,0.0,2.0,7.0,0.009440323668240054,33.02565833896016,0.0,2.0,1.0,20.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.801279441,1.8377215828416248E-7,51000.0,1509.0,0.0,2.0,7.0,0.00927766732935719,33.12475116124751,0.0,2.0,1.0,12.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.825635748,1.8626583968536308E-7,52000.0,1539.0,0.0,2.0,7.0,0.009096816114359974,33.11711125569291,0.0,2.0,0.0,30.0,2320.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.848314249,1.8858985371206578E-7,53000.0,1562.0,0.0,2.0,7.0,0.008962868117797696,33.26282051282051,0.0,2.0,0.0,41.0,2320.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.875655087,1.9139181759786483E-7,54000.0,1587.0,0.0,2.0,7.0,0.008821676118462508,33.37476340694006,0.0,2.0,0.0,32.0,2320.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.902864471,1.9418650411471933E-7,55000.0,1614.0,0.0,2.0,7.0,0.008674101610904586,33.41997518610422,0.0,2.0,0.0,58.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.926568893,1.9661265837552856E-7,56000.0,1638.0,0.0,2.0,7.0,0.008547008547008548,33.567237163814184,0.0,2.0,0.0,15.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,1.949110211,1.9892401391400854E-7,57000.0,1661.0,0.0,2.0,7.0,0.008428657435279952,33.691380349608195,0.0,2.0,1.0,37.0,2320.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,1.977074048,2.017842106525683E-7,58000.0,1685.0,0.0,2.0,7.0,0.00830860534124629,33.82412358882947,0.0,2.0,1.0,5.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,2.000583571,2.0419513652389456E-7,59000.0,1709.0,0.0,3.0,4.666666666666667,0.008191925102399064,33.91446983011131,0.3333333333333333,2.0,0.0,39.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,2.024797183,2.0669505518059145E-7,60000.0,1737.0,0.0,3.0,6.333333333333333,0.010938399539435808,33.903690888119954,0.0,3.0,0.0,121.0,2320.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62000.0,2.050324578,2.0931085547611327E-7,61000.0,1768.0,0.0,3.0,6.333333333333333,0.010746606334841629,33.92634560906516,0.0,3.0,1.0,30.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63000.0,2.072447883,2.1157976061899423E-7,62000.0,1790.0,0.0,3.0,6.333333333333333,0.010614525139664804,34.06267487409065,0.0,3.0,1.0,40.0,2320.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64000.0,2.094778713,2.1386380222370435E-7,63000.0,1811.0,0.0,3.0,6.333333333333333,0.010491441192711209,34.239491150442475,0.0,3.0,0.0,5.0,2320.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65000.0,2.123360407,2.167925775104782E-7,64000.0,1837.0,0.0,3.0,6.333333333333333,0.010342950462710943,34.285714285714285,0.0,3.0,1.0,30.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66000.0,2.165726214,2.2113057106716352E-7,65000.0,1862.0,0.0,3.0,6.333333333333333,0.01020408163265306,34.36740182894029,0.0,3.0,0.0,21.0,2320.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67000.0,2.200502521,2.2469605359847142E-7,66000.0,1888.0,0.0,3.0,6.333333333333333,0.010063559322033898,34.41644562334218,0.0,3.0,0.0,35.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68000.0,2.232515092,2.279731455274837E-7,67000.0,1915.0,0.0,3.0,6.333333333333333,0.009921671018276762,34.46286610878661,0.0,3.0,1.0,17.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69000.0,2.261714637,2.3096299623581894E-7,68000.0,1942.0,0.0,3.0,6.333333333333333,0.009783728115345005,34.496647756575555,0.0,3.0,1.0,21.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70000.0,2.29100997,2.3396101803171762E-7,69000.0,1968.0,0.0,3.0,6.333333333333333,0.009654471544715448,34.553180661577606,0.0,3.0,1.0,13.0,2320.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71000.0,2.318720253,2.3680910195983329E-7,70000.0,1991.0,0.0,3.0,6.333333333333333,0.009542943244600702,34.62877263581489,0.0,3.0,0.0,68.0,2320.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72000.0,2.348441533,2.3985428191897155E-7,71000.0,2018.0,0.0,3.0,6.333333333333333,0.009415262636273538,34.68089330024814,0.0,3.0,1.0,28.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73000.0,2.377965845,2.4288636897776076E-7,72000.0,2047.0,0.0,3.0,6.333333333333333,0.009281875915974597,34.66438356164384,0.0,3.0,1.0,56.0,2320.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74000.0,2.406062088,2.457584221685285E-7,73000.0,2071.0,0.0,3.0,6.333333333333333,0.009174311926605505,34.77176015473888,0.0,3.0,0.0,2.0,2160.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75000.0,2.434302654,2.486486767034461E-7,74000.0,2095.0,0.0,3.0,6.333333333333333,0.009069212410501194,34.845124282982795,0.0,3.0,0.0,14.0,2320.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76000.0,2.461846446,2.514655683771501E-7,75000.0,2118.0,0.0,3.0,6.333333333333333,0.008970727101038715,34.94420803782506,0.0,3.0,1.0,3.0,2320.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77000.0,2.49191125,2.545444517492483E-7,76000.0,2149.0,0.0,3.0,6.333333333333333,0.008841321544904607,34.89655172413793,0.0,3.0,0.0,22.0,2320.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78000.0,2.513266407,2.567370085733964E-7,77000.0,2170.0,0.0,3.0,6.333333333333333,0.008755760368663594,35.00553760959853,0.0,3.0,1.0,53.0,2320.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
79000.0,2.536443763,2.5910921748081853E-7,78000.0,2199.0,0.0,3.0,6.333333333333333,0.008640291041382447,35.01593806921676,0.0,3.0,1.0,15.0,2320.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80000.0,2.559760251,2.6149450844509743E-7,79000.0,2226.0,0.0,4.0,4.75,0.008535489667565139,35.04363472784525,0.25,3.0,0.0,8.0,2320.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81000.0,2.581998117,2.6376917957825804E-7,80000.0,2247.0,0.0,4.0,8.25,0.014686248331108143,35.14890771288453,0.0,4.0,0.0,6.0,2320.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82000.0,2.605293713,2.6615758846234127E-7,81000.0,2277.0,0.0,4.0,8.25,0.014492753623188406,35.112186537615486,0.0,4.0,1.0,35.0,2320.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
83000.0,2.629540668,2.6863851840378725E-7,82000.0,2309.0,0.0,4.0,8.25,0.01429190125595496,35.06898047722343,0.0,4.0,0.0,11.0,2320.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
