learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,1.083939853,1.906472214007901E-6,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6820296.0
3000.0,1.401693663,2.4671219465826594E-6,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6820296.0
4000.0,1.639555924,2.8868097955474832E-6,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6820296.0
5000.0,1.877313255,3.306312504398837E-6,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6820296.0
6000.0,2.147546111,3.7920639388385723E-6,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2000.0,6948296.0
7000.0,2.40228099,4.258392520149428E-6,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,7076296.0
8000.0,2.640850648,4.703028277511165E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,7204296.0
9000.0,2.898242966,5.191268100136381E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,7332296.0
10000.0,3.149584109,5.676352462194952E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,7460296.0
11000.0,3.462361384,6.29036478074789E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,7000.0,7588296.0
12000.0,3.797771919,6.9599150787310774E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,7716296.0
13000.0,4.1084495,7.590380856199836E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,7844296.0
14000.0,4.401474792,8.194727551687956E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,10000.0,7972296.0
15000.0,4.74816432,8.921233613151957E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,8100296.0
16000.0,5.095897917,9.661442318951381E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12000.0,8228296.0
17000.0,5.449210802,1.0425226959646133E-5,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,8356296.0
18000.0,5.808317095,1.121342700746392E-5,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,14000.0,8484296.0
19000.0,6.141408142,1.195555623660602E-5,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,15000.0,8612296.0
20000.0,6.426617646,1.2600449385875244E-5,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,16000.0,8740296.0
21000.0,6.699282162,1.3226005730192913E-5,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,17000.0,8868296.0
22000.0,6.969080773,1.3853921044318653E-5,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,18000.0,8996296.0
23000.0,7.242835407,1.4500108427996997E-5,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,19000.0,9124296.0
24000.0,7.523617258,1.517224842177202E-5,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,20000.0,9253224.0
25000.0,7.793655093,1.5827611171298618E-5,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,21000.0,9381224.0
26000.0,8.0610062,1.648530640385569E-5,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,22000.0,9509224.0
27000.0,8.331422207,1.7159495894599025E-5,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,23000.0,9637224.0
28000.0,8.6108324,1.7865361603743292E-5,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,24000.0,9765224.0
29000.0,8.88594109,1.8569470417344053E-5,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,25000.0,9893224.0
30000.0,9.165746284,1.9294864771607335E-5,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,26000.0,1.0021224E7
31000.0,9.447432176,2.0034462491066977E-5,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,27000.0,1.0149224E7
32000.0,9.735587202,2.080058751984604E-5,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,28000.0,1.0277224E7
33000.0,10.024491709,2.1578271907375663E-5,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,29000.0,1.0405224E7
34000.0,10.313622583,2.236613982897624E-5,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,30000.0,1.0533224E7
35000.0,10.60260682,2.3163177506589558E-5,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,31000.0,1.0661224E7
36000.0,10.931173006,2.4080264862109428E-5,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,32000.0,1.0789224E7
37000.0,11.264253993,2.502098338078817E-5,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,33000.0,1.0917224E7
38000.0,11.595647113,2.596790851696061E-5,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,34000.0,1.1045224E7
39000.0,11.935928863,2.6951500074715747E-5,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,35000.0,1.1173224E7
40000.0,12.273232881,2.7937653816682584E-5,39000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,36000.0,1.1301224E7
41000.0,12.604674566,2.891764349600652E-5,40000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,37000.0,1.1429224E7
42000.0,12.93938401,2.991837858188407E-5,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,38000.0,1.1557224E7
43000.0,13.270822024,3.092030767930624E-5,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,39000.0,1.1685224E7
44000.0,13.603655007,3.1937554967632514E-5,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,40000.0,1.1814152E7
45000.0,13.940734856,3.2978944036245716E-5,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,41000.0,1.1942152E7
46000.0,14.279018747,3.4035254752724445E-5,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,42000.0,1.2070152E7
47000.0,14.624849103,3.512658145570614E-5,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,43000.0,1.2198152E7
48000.0,14.980342782,3.626017413145484E-5,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,44000.0,1.2326152E7
49000.0,15.335191774,3.740346139946025E-5,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,45000.0,1.2454152E7
50000.0,15.692399809,3.856617774014555E-5,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,46000.0,1.2582152E7
51000.0,16.100763277,3.9908928036744245E-5,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,47000.0,1.2710152E7
52000.0,16.579452568,4.149876962861896E-5,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,48000.0,1.2838152E7
53000.0,17.0627424,4.311989422758403E-5,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,49000.0,1.2966152E7
54000.0,17.437202599,4.43883656023959E-5,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,50000.0,1.3094152E7
55000.0,17.810671865,4.5665847170954154E-5,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,51000.0,1.3222152E7
56000.0,18.190485717,4.6977607943363255E-5,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,52000.0,1.3350152E7
57000.0,18.569377307,4.829873000439546E-5,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,53000.0,1.3478152E7
58000.0,18.95255077,4.964747042044262E-5,57000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,54000.0,1.3606152E7
59000.0,19.334041002,5.1002918545787646E-5,58000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,55000.0,1.3734152E7
60000.0,19.719419299,5.2384942399998606E-5,59000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,56000.0,1.3862152E7
61000.0,20.111377838,5.380354317424144E-5,60000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,57000.0,1.3990152E7
62000.0,20.499605384,5.5221496153280575E-5,61000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,58000.0,1.4118152E7
