learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,0.067515271,4.6017277982561954E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,275808.0
3000.0,0.129901988,9.057646845425997E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2000.0,276088.0
4000.0,0.174112406,1.2215338949172034E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,3000.0,276088.0
5000.0,0.215215064,1.5151061895957425E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,276088.0
6000.0,0.243499424,1.7171248636365767E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,276088.0
7000.0,0.272030545,1.9209060074672518E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,276088.0
8000.0,0.296227604,2.0937314762021933E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,7000.0,276088.0
9000.0,0.314022245,2.2208282102224313E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,8000.0,276088.0
10000.0,0.326604401,2.3106952063890383E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,276088.0
11000.0,0.339127531,2.4001406142908254E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,276088.0
12000.0,0.351961205,2.4918040567216362E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,11000.0,276088.0
13000.0,0.364554783,2.581752633567279E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12000.0,276088.0
14000.0,0.380039067,2.692347836080318E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,13000.0,276088.0
15000.0,0.398078654,2.8211940764048036E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14000.0,276088.0
16000.0,0.415710892,2.9471308605898587E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,15000.0,276088.0
17000.0,0.4330903,3.0712618276605176E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16000.0,276088.0
18000.0,0.450738748,3.197314390413877E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17000.0,276088.0
19000.0,0.468335769,3.322999640123919E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,18000.0,276088.0
20000.0,0.486043272,3.449473998272171E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,19000.0,276088.0
21000.0,0.504569099,3.581793167100806E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,20000.0,276088.0
