learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.085576641,8.188322276193648E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,12304.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.156127661,1.5240010193348346E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.205444663,2.0169323860446198E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.249244425,2.4547180516092727E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.2777281,2.7394169643020464E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.301359575,2.9756173576089657E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.322115103,3.1830721981084596E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.337570294,3.3375493178326225E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.353011222,3.491883876577848E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.368081264,3.642511370102979E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.388780638,3.8494049423411494E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,2000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.40868758,4.048378029291415E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.428594991,4.2473558039721106E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.448300604,4.4443165751873626E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,5000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.467957436,4.6407897724621E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.491014043,4.871244267652225E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.521183595,5.172793792101865E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8000.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.576666772,5.762701220562888E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,36896.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.606196786,6.049571199953142E-8,19000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,282.0,12304.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.626887725,6.250573788184051E-8,20000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,1.0,1282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.647341151,6.449269051080983E-8,21000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,1.0,2282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.667738701,6.64742150533013E-8,22000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,2.0,3282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.687571028,6.840083088143831E-8,23000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,1.0,4282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.707488287,7.033569744765137E-8,24000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,2.0,5282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.727031964,7.223427230718234E-8,25000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,2.0,6282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.750527438,7.451674536735232E-8,26000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,7282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.77511579,7.698375412322166E-8,27000.0,2.0,0.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,8282.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
29000.0,0.8088104,8.056071852256439E-8,28000.0,2.0,5.0,1.0,0.0,0.0,22.5,1.0,0.0,2.0,9282.0,35552.0,0.0,5.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
30000.0,0.839575725,8.384409732371774E-8,29000.0,2.0,8.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,10282.0,36896.0,0.0,3.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
31000.0,0.861154695,8.614707746934351E-8,30000.0,2.0,8.0,1.0,0.0,0.0,22.5,1.0,0.0,1.0,11282.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
32000.0,0.903929137,9.071210956615912E-8,31000.0,2.0,26.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,12282.0,36896.0,0.0,18.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
33000.0,0.940602093,9.46259705868384E-8,32000.0,2.0,38.0,1.0,0.0,0.0,22.5,1.0,0.0,2.0,13282.0,36896.0,0.0,12.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
34000.0,0.967859305,9.75349517875682E-8,33000.0,2.0,38.0,1.0,0.0,0.0,22.5,1.0,0.0,0.0,14282.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
35000.0,1.005929522,1.0135525895063247E-7,34000.0,3.0,38.0,1.0,14192.0,4730.666666666667,7257.0,0.0,1.0,1.0,2209.0,12304.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.032012331,1.0397264203661637E-7,35000.0,3.0,38.0,1.0,14192.0,4730.666666666667,7257.0,0.0,1.0,2.0,3209.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.064234031,1.0720605652742707E-7,36000.0,3.0,38.0,1.0,14192.0,4730.666666666667,7257.0,0.0,1.0,2.0,4209.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.106541991,1.1145161684673484E-7,37000.0,3.0,38.0,1.0,14192.0,4730.666666666667,7257.0,0.0,1.0,2.0,5209.0,12304.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.137134952,1.1452158905224251E-7,38000.0,3.0,38.0,1.0,14192.0,4730.666666666667,7257.0,0.0,1.0,0.0,6209.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.166724535,1.1739607568993127E-7,39000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,292.0,12304.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.192253599,1.1987610230405087E-7,40000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,1292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.217882572,1.2236583460025072E-7,41000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,2.0,2292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.24316763,1.2482215719709791E-7,42000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,2.0,3292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.26885606,1.27317665456819E-7,43000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,4292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.294131874,1.297730900432252E-7,44000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,5292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.319563862,1.322436861876812E-7,45000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,6292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.344771559,1.3469249353293533E-7,46000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,7292.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.372649792,1.3748958399711794E-7,47000.0,5.0,38.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,1.0,8292.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
49000.0,1.408935222,1.4132566512291214E-7,48000.0,5.0,45.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,9292.0,35552.0,0.0,7.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
50000.0,1.437009667,1.443218641738614E-7,49000.0,5.0,46.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,1.0,10292.0,36896.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
51000.0,1.458207131,1.4658412871798083E-7,50000.0,5.0,46.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,2.0,11292.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
52000.0,1.494573182,1.5046523580640138E-7,51000.0,5.0,64.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,12292.0,36896.0,0.0,18.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
53000.0,1.526828458,1.539076271818785E-7,52000.0,5.0,76.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,1.0,13292.0,36896.0,0.0,12.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
54000.0,1.548776573,1.5625000372157948E-7,53000.0,5.0,76.0,2.0,7096.0,2838.4,3639.75,0.5,1.0,0.0,14292.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
55000.0,1.575363008,1.5891792515924406E-7,54000.0,6.0,76.0,2.0,14187.0,4729.0,7257.0,0.0,2.0,1.0,2219.0,12304.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.594793233,1.6086772827561322E-7,55000.0,6.0,76.0,2.0,14187.0,4729.0,7257.0,0.0,2.0,2.0,3219.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.618711699,1.6326792176516725E-7,56000.0,6.0,76.0,2.0,14187.0,4729.0,7257.0,0.0,2.0,2.0,4219.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
