learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.021246247,1.862362742088735E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,57.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.130839319,1.2061074433885515E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,116.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.190466107,1.7550081755879024E-8,3000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,40.0,4544.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.247243748,2.277704283826881E-8,4000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,80.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.287517332,2.6484637104405296E-8,5000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,134.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.318968175,2.9380008054553635E-8,6000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,188.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.360813157,3.323642246299734E-8,7000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,241.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.398491599,3.6708850450097684E-8,8000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,288.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.451793309,4.1674834358866017E-8,9000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,1.0,339.0,4560.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.489507661,4.5188584014582964E-8,10000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,392.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.527987223,4.877362632764296E-8,11000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,1.0,444.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.565939886,5.230957880933458E-8,12000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,1.0,497.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.607931851,5.6221949627629165E-8,13000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,1.0,535.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.646225235,5.978964621290357E-8,14000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,579.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.67707181,6.266354266182828E-8,15000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,1.0,633.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.706935875,6.544590116853307E-8,16000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,688.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.744132815,6.891221470239054E-8,17000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,747.0,4560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.773730998,7.167041422930027E-8,18000.0,26.0,0.0,0.0,?,0.0,0.9615384615384616,?,0.0,0.0,799.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.8103534,7.504483590745676E-8,19000.0,56.0,0.0,0.0,?,0.0,289.30357142857144,?,0.0,1.0,24.0,4504.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.840551247,7.782766818678006E-8,20000.0,56.0,0.0,0.0,?,0.0,289.30357142857144,?,0.0,0.0,76.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.878667872,8.134008448688519E-8,21000.0,67.0,4.0,1.0,385.0,5.746268656716418,272.3939393939394,0.0,1.0,0.0,39.0,4536.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.908522285,8.409126817811486E-8,22000.0,67.0,4.0,1.0,385.0,5.746268656716418,272.3939393939394,0.0,1.0,1.0,99.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.939971763,8.702074976439897E-8,23000.0,67.0,4.0,1.0,385.0,5.746268656716418,272.3939393939394,0.0,1.0,0.0,138.0,4552.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.971612023,8.996708570769055E-8,24000.0,67.0,4.0,1.0,385.0,5.746268656716418,272.3939393939394,0.0,1.0,1.0,178.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.006480087,9.322048892548307E-8,25000.0,67.0,4.0,1.0,385.0,5.746268656716418,272.3939393939394,0.0,1.0,0.0,227.0,4560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.04113998,9.641422669071703E-8,26000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,1.0,16.0,4520.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.071628593,9.922391712574909E-8,27000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,0.0,75.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.102366599,1.0205659047334145E-7,28000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,1.0,119.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.134344302,1.0503501086711469E-7,29000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,0.0,166.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.16844329,1.0821058545378761E-7,30000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,1.0,218.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.200402949,1.111922198678222E-7,31000.0,69.0,4.0,1.0,385.0,5.579710144927536,344.5,0.0,1.0,1.0,288.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.233157399,1.1421071942599284E-7,32000.0,100.0,4.0,1.0,385.0,3.85,290.47474747474746,0.0,1.0,1.0,55.0,4560.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.263497345,1.1700670939364369E-7,33000.0,100.0,4.0,1.0,385.0,3.85,290.47474747474746,0.0,1.0,0.0,98.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.294310002,1.198462622342673E-7,34000.0,100.0,4.0,1.0,385.0,3.85,290.47474747474746,0.0,1.0,1.0,146.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.324540975,1.2263220975112587E-7,35000.0,100.0,4.0,1.0,385.0,3.85,290.47474747474746,0.0,1.0,0.0,193.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
