learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.033475123,3.2637259393247464E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,12.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.151400582,1.5345144687479157E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,20.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.240426112,2.492731722596412E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,30.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.313778186,3.2825681247659444E-8,4000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,1.0,1.0,3792.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.348888529,3.660329407939481E-8,5000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,12.0,4464.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.389409992,4.096612242525858E-8,6000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,21.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.426320681,4.494507820809054E-8,7000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,35.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.461657294,4.875720148280678E-8,8000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,45.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.496259663,5.249340852814831E-8,9000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,55.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.530551653,5.619759264405404E-8,10000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,1.0,62.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.564950107,5.991548381582732E-8,11000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,71.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.599066045,6.36051698014099E-8,12000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,1.0,76.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.633557804,6.733885641316161E-8,13000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,1.0,89.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.667928833,7.106054118164921E-8,14000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,94.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.702650415,7.48263636831091E-8,15000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,111.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.736946797,7.854734761549577E-8,16000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,117.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.771567984,8.230557750889414E-8,17000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,125.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.806337469,8.608235218898086E-8,18000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,135.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.841057378,8.985618488427254E-8,19000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,145.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.876488919,9.370986063668092E-8,20000.0,163.0,0.0,0.0,?,0.0,0.9938650306748467,?,0.0,0.0,155.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.91180508,9.75563958991195E-8,21000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,165.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.946935006,1.0138562788686407E-7,22000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,0.0,177.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.982043109,1.0521378900284571E-7,23000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,183.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.017080455,1.0903648274706886E-7,24000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,192.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.054910335,1.1316956684308335E-7,25000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,0.0,201.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.08969925,1.1697149186104744E-7,26000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,206.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.124379783,1.2076422797077854E-7,27000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,0.0,217.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.159169683,1.2457158873682014E-7,28000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,228.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.19411798,1.2839939441700984E-7,29000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,241.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.22909387,1.3223804001492965E-7,30000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,0.0,254.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.263861418,1.3605576261826893E-7,31000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,263.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.298801659,1.3989671457291683E-7,32000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,280.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.333766458,1.437421752520071E-7,33000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,287.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.368558649,1.4756994845498143E-7,34000.0,163.0,0.0,1.0,0.0,0.0,0.9938650306748467,1.0,0.0,1.0,293.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
