learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.047259896,4.652008359531562E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,34.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.185456803,1.905019429996403E-8,2000.0,33.0,0.0,0.0,?,0.0,0.9696969696969697,?,0.0,0.0,27.0,4544.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.245247906,2.5296420634972556E-8,3000.0,33.0,0.0,0.0,?,0.0,0.9696969696969697,?,0.0,0.0,61.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.314068952,3.2462338648479847E-8,4000.0,72.0,0.0,0.0,?,0.0,30.38888888888889,?,0.0,0.0,21.0,4528.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.349319942,3.613178900609828E-8,5000.0,94.0,0.0,0.0,?,0.0,33.5531914893617,?,0.0,1.0,18.0,4488.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.38933761,4.0298668826458354E-8,6000.0,97.0,0.0,0.0,?,0.0,44.79381443298969,?,0.0,1.0,20.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.432086138,4.474945982052634E-8,7000.0,166.0,0.0,0.0,?,0.0,29.373493975903614,?,0.0,0.0,19.0,4544.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.471924578,4.8908890527027344E-8,8000.0,166.0,0.0,0.0,?,0.0,29.373493975903614,?,0.0,0.0,53.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.516397421,5.3537460923033454E-8,9000.0,209.0,0.0,0.0,?,0.0,34.344497607655505,?,0.0,1.0,14.0,4536.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.554550277,5.7507954405053623E-8,10000.0,250.0,0.0,0.0,?,0.0,32.928,?,0.0,1.0,14.0,4504.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
