learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.038567,3.138303148249785E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,19.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.192489,1.6634643657339944E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,44.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.279292,2.4227106465647618E-8,3000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,6.0,4448.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.328274,2.851996699762013E-8,4000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,26.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.382471,3.327851525404387E-8,5000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,45.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.433763,3.77895386910273E-8,6000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,63.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.485707,4.236811699759629E-8,7000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,86.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.536651,4.686635291203857E-8,8000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,108.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.584861,5.113355970010162E-8,9000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,131.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.630109,5.514495918113325E-8,10000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,151.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.67368,5.9011293515149096E-8,11000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,163.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.707672,6.203725968591042E-8,12000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,191.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.739601,6.488559101811715E-8,13000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,208.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.767616,6.738818194303249E-8,14000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,225.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.79695,7.001272792203559E-8,15000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,245.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.826417,7.265685767970152E-8,16000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,264.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.854133,7.514862786771523E-8,17000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,0.0,289.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.880191,7.749446569424537E-8,18000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,307.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.908178,8.001917224170433E-8,19000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,333.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.936584,8.25845574401319E-8,20000.0,90.0,0.0,0.0,?,0.0,0.9888888888888889,?,0.0,1.0,348.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.969806,8.549852417781949E-8,21000.0,105.0,0.0,1.0,253.0,2.4095238095238094,168.27884615384616,0.0,1.0,0.0,24.0,4544.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.000108,8.815486687545974E-8,22000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,19.0,4552.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.028578,9.065526707097888E-8,23000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,38.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.056666,9.312711708868543E-8,24000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,60.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.08542,9.566275494173169E-8,25000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,80.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.115222,9.829481854413947E-8,26000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,99.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.136779,1.0020248954494795E-7,27000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,117.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.158522,1.0212855545596944E-7,28000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,130.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.178957,1.0394188409464227E-7,29000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,152.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.199063,1.0573038765953647E-7,30000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,171.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.218926,1.0749916646422612E-7,31000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,185.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.243908,1.0974720812713107E-7,32000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,203.0,7680.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33000.0,1.263201,1.1149629373103381E-7,33000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,219.0,8784.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
34000.0,1.284266,1.1341335139133865E-7,34000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,246.0,8896.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
35000.0,1.304857,1.1528918952784606E-7,35000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,259.0,8912.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
36000.0,1.324835,1.1711236710970602E-7,36000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,282.0,8912.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
37000.0,1.344294,1.1889075857069759E-7,37000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,300.0,8928.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
38000.0,1.36609,1.2088755915562315E-7,38000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,1.0,328.0,9048.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
39000.0,1.387029,1.2280831737857728E-7,39000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,344.0,9056.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
40000.0,1.407703,1.2470656390612327E-7,40000.0,186.0,0.0,1.0,253.0,1.3602150537634408,100.6972972972973,0.0,1.0,0.0,356.0,9072.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
41000.0,1.430483,1.267047366479205E-7,41000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,14.0,3840.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.449207,1.2835228681357373E-7,42000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,30.0,4416.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.467256,1.2994316967825098E-7,43000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,49.0,4416.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.484626,1.314763967196147E-7,44000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,64.0,4416.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.502148,1.3302760981851158E-7,45000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,93.0,4488.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.520054,1.3461689464747909E-7,46000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,117.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.535749,1.360121463115017E-7,47000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,137.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.552178,1.3747475708938312E-7,48000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,155.0,4512.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.569039,1.3898018912101792E-7,49000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,180.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.585883,1.404866829824945E-7,50000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,202.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.602003,1.4193005846399406E-7,51000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,217.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.618159,1.433783291921848E-7,52000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,231.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.633452,1.4475328935724172E-7,53000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,252.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.648297,1.4609030579320265E-7,54000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,274.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.664223,1.4752735240798864E-7,55000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,297.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.680953,1.490395083588859E-7,56000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,319.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.698423,1.506220931580498E-7,57000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,349.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,1.716467,1.522588791718914E-7,58000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,366.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,1.732536,1.5372140002333462E-7,59000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,383.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,1.751125,1.5541601030776905E-7,60000.0,216.0,0.0,2.0,318.5,2.949074074074074,175.9158878504673,0.0,2.0,0.0,404.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,1.769873,1.571282970284423E-7,61000.0,216.0,0.0,3.0,212.33333333333334,2.949074074074074,175.9158878504673,0.3333333333333333,2.0,1.0,428.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
