learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.049569,3.2026011124253273E-9,1000.0,45.0,0.0,0.0,?,0.0,0.9777777777777777,?,0.0,1.0,31.0,259360.0
2000.0,0.125727,8.312545306980609E-9,2000.0,45.0,0.0,0.0,?,0.0,0.9777777777777777,?,0.0,0.0,55.0,259360.0
3000.0,0.166248,1.1031367344160874E-8,3000.0,52.0,0.0,0.0,?,0.0,23.865384615384617,?,0.0,1.0,81.0,259360.0
4000.0,0.205673,1.367665148857567E-8,4000.0,74.0,0.0,0.0,?,0.0,31.91891891891892,?,0.0,1.0,110.0,259360.0
5000.0,0.238838,1.5901910807523463E-8,5000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,0.0,141.0,259360.0
6000.0,0.271339,1.8082617972460058E-8,6000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,0.0,176.0,259360.0
7000.0,0.303532,2.0242659379210736E-8,7000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,208.0,259360.0
8000.0,0.33169,2.2131965934402412E-8,8000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,238.0,259360.0
9000.0,0.363665,2.4277380278540983E-8,9000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,273.0,259360.0
10000.0,0.394409,2.6340198686553374E-8,10000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,303.0,259360.0
11000.0,0.424626,2.836765717715025E-8,11000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,323.0,259360.0
12000.0,0.447509,2.990302907509936E-8,12000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,355.0,259360.0
13000.0,0.467355,3.123462854574124E-8,13000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,378.0,259360.0
14000.0,0.488229,3.2635203339159486E-8,14000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,0.0,418.0,259360.0
15000.0,0.508389,3.39878711476922E-8,15000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,0.0,440.0,259360.0
16000.0,0.528623,3.5345504105918934E-8,16000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,470.0,259360.0
17000.0,0.544157,3.638778296195798E-8,17000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,506.0,259360.0
18000.0,0.558104,3.732357948604557E-8,18000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,1.0,542.0,259360.0
19000.0,0.571812,3.824333991855383E-8,19000.0,165.0,0.0,0.0,?,0.0,20.393939393939394,?,0.0,0.0,580.0,259360.0
20000.0,0.585865,3.9186248684095013E-8,20000.0,189.0,0.0,0.0,?,0.0,100.3862433862434,?,0.0,1.0,613.0,259360.0
21000.0,0.600583,4.017377670026488E-8,21000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,642.0,259360.0
22000.0,0.614502,4.1107694519062844E-8,22000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,670.0,259360.0
23000.0,0.627747,4.199638921767474E-8,23000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,695.0,259360.0
24000.0,0.640806,4.28726039454341E-8,24000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,731.0,259360.0
25000.0,0.653643,4.3733923224111403E-8,25000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,764.0,259360.0
26000.0,0.666246,4.457954189429681E-8,26000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,795.0,259360.0
27000.0,0.679109,4.544260568502877E-8,27000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,820.0,259360.0
28000.0,0.691456,4.6271047621137575E-8,28000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,843.0,259360.0
29000.0,0.703501,4.707922637876538E-8,29000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,869.0,259360.0
30000.0,0.715435,4.787995741185216E-8,30000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,906.0,259360.0
31000.0,0.727443,4.868565359463295E-8,31000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,932.0,259360.0
32000.0,0.739326,4.9482962700227905E-8,32000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,958.0,259360.0
33000.0,0.752496,5.036662515252829E-8,33000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,981.0,259360.0
34000.0,0.765016,5.12066748034623E-8,34000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1007.0,259360.0
35000.0,0.777591,5.205041476835808E-8,35000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1035.0,259360.0
36000.0,0.790165,5.289408763663637E-8,36000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1075.0,259360.0
37000.0,0.802404,5.3715283138056605E-8,37000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1104.0,259360.0
38000.0,0.814293,5.451299482335648E-8,38000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1130.0,259360.0
39000.0,0.826319,5.531989874525204E-8,39000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1163.0,259360.0
40000.0,0.838388,5.6129687821699525E-8,40000.0,189.0,0.0,1.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1182.0,259360.0
41000.0,0.851015,5.697691681070461E-8,41000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1211.0,259360.0
42000.0,0.863393,5.78074387419555E-8,42000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1237.0,259360.0
43000.0,0.875926,5.864836064891684E-8,43000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1278.0,259360.0
44000.0,0.888109,5.946579873975781E-8,44000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1306.0,259360.0
45000.0,0.900469,6.029511293189394E-8,45000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1347.0,259360.0
46000.0,0.912503,6.11025536267294E-8,46000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1377.0,259360.0
47000.0,0.924113,6.188154535575048E-8,47000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1408.0,259360.0
48000.0,0.935813,6.266657578034536E-8,48000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1430.0,259360.0
49000.0,0.947781,6.346958809842668E-8,49000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1462.0,259360.0
50000.0,0.959753,6.427286880297796E-8,50000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1493.0,259360.0
51000.0,0.97217,6.510600750231084E-8,51000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1518.0,259360.0
52000.0,0.9847,6.594672811941972E-8,52000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1558.0,259360.0
53000.0,0.99709,6.677805521008044E-8,53000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1602.0,259360.0
54000.0,1.010139,6.765359897166494E-8,54000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1634.0,259360.0
55000.0,1.02285,6.850646407653891E-8,55000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1671.0,259360.0
56000.0,1.035832,6.93775123647518E-8,56000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1696.0,259360.0
57000.0,1.048922,7.025580708765324E-8,57000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1729.0,259360.0
58000.0,1.061886,7.112564763675135E-8,58000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1766.0,259360.0
59000.0,1.074658,7.198260563529202E-8,59000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1798.0,259360.0
60000.0,1.087109,7.281802561961945E-8,60000.0,189.0,0.0,2.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1814.0,259360.0
61000.0,1.099386,7.364177079250417E-8,61000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1849.0,259360.0
62000.0,1.111517,7.445571985923583E-8,62000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1879.0,259360.0
63000.0,1.123717,7.527429859257408E-8,63000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,1913.0,259360.0
64000.0,1.135752,7.608180638402702E-8,64000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1937.0,259360.0
65000.0,1.148091,7.690971154719593E-8,65000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,1970.0,259360.0
66000.0,1.160476,7.774070315476923E-8,66000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2004.0,259360.0
67000.0,1.172929,7.857625733233162E-8,67000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2029.0,259360.0
68000.0,1.184747,7.936920515778993E-8,68000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2066.0,259360.0
69000.0,1.196866,8.018234906511176E-8,69000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2096.0,259360.0
70000.0,1.209038,8.099904909316038E-8,70000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2117.0,259360.0
71000.0,1.22084,8.17909233727389E-8,71000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2150.0,259360.0
72000.0,1.232984,8.26057446954979E-8,72000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2175.0,259360.0
73000.0,1.245258,8.342928857853016E-8,73000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2202.0,259360.0
74000.0,1.257556,8.42544427803821E-8,74000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2228.0,259360.0
75000.0,1.269971,8.508744728648001E-8,75000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2257.0,259360.0
76000.0,1.281967,8.589233830985096E-8,76000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,0.0,2290.0,259360.0
77000.0,1.294019,8.670098674380117E-8,77000.0,189.0,0.0,3.0,0.0,0.0,100.3862433862434,1.0,0.0,1.0,2313.0,259360.0
