learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.040625912,3.988905327816804E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,18.0,12912.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.154861023,1.6131047879329158E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,31.0,16360.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.210638408,2.2070407005393256E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,47.0,16592.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.278560239,2.9245452916827053E-8,4000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,3.0,12.0,13944.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.322582618,3.39310960036392E-8,5000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,9.0,32.0,16456.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.35693426,3.759537014549805E-8,6000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,3.0,53.0,16624.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.396350167,4.1805149548446965E-8,7000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,0.0,70.0,16672.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.436469164,4.6097494572496246E-8,8000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,1.0,91.0,16680.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.475796497,5.030880184140263E-8,9000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,0.0,104.0,16696.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.514761484,5.44895333437456E-8,10000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,8.0,125.0,16728.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.553906739,5.8695034644856216E-8,11000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,0.0,144.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.593216969,6.292175808068778E-8,12000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,5.0,157.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.640800067,6.794966370771328E-8,13000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,1.0,16.0,13960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.679706085,7.209073282796888E-8,14000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,9.0,33.0,16400.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.718967884,7.628129014976735E-8,15000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,9.0,63.0,16600.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.758260017,8.048118407355619E-8,16000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,9.0,78.0,16632.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.795372342,8.445314997992165E-8,17000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,5.0,97.0,16672.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.826750298,8.781873027804408E-8,18000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,0.0,121.0,16688.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.857755885,9.114789981953177E-8,19000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,9.0,137.0,16712.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.889401181,9.455079995564493E-8,20000.0,123.0,0.0,0.0,?,0.0,73.04878048780488,?,0.0,3.0,159.0,16736.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.921388663,9.79975135895796E-8,21000.0,123.0,0.0,1.0,0.0,0.0,73.04878048780488,1.0,0.0,1.0,178.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.953992591,1.0151584623373422E-7,22000.0,123.0,0.0,1.0,0.0,0.0,73.04878048780488,1.0,0.0,7.0,203.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.985604862,1.0493056996676655E-7,23000.0,123.0,0.0,1.0,0.0,0.0,73.04878048780488,1.0,0.0,4.0,219.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.017138925,1.083405004875341E-7,24000.0,123.0,0.0,1.0,0.0,0.0,73.04878048780488,1.0,0.0,5.0,235.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.048678586,1.1175913040527037E-7,25000.0,123.0,0.0,1.0,0.0,0.0,73.04878048780488,1.0,0.0,3.0,253.0,16752.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
