learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.071951075,5.29480554530811E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,31.0,297824.0
2000.0,0.172870089,1.3070341255447516E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,59.0,297824.0
3000.0,0.228716303,1.7373140242693737E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,90.0,297824.0
4000.0,0.275666338,2.0990512819627506E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,120.0,297824.0
5000.0,0.306659679,2.3378465497425447E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,154.0,297824.0
6000.0,0.331297472,2.5276740477505244E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,173.0,297824.0
7000.0,0.370052357,2.826269902303608E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,199.0,297824.0
8000.0,0.407932802,3.118128434347403E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,235.0,297824.0
9000.0,0.445942147,3.410980105853536E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,268.0,297824.0
10000.0,0.483362463,3.6992934690248225E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,303.0,297824.0
11000.0,0.510962012,3.9119404919468284E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,339.0,297824.0
12000.0,0.538834278,4.126688725223765E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,370.0,297824.0
13000.0,0.5663092,4.338375530986944E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,396.0,297824.0
14000.0,0.593723521,4.549595422517716E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,423.0,297824.0
15000.0,0.621407865,4.762895767865704E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,446.0,297824.0
16000.0,0.648982494,4.9753507889614764E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,472.0,297824.0
17000.0,0.676550329,5.1877534641339976E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,500.0,297824.0
18000.0,0.704106476,5.400066086443556E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,522.0,297824.0
19000.0,0.7317559,5.613097382683515E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,543.0,297824.0
20000.0,0.759352538,5.82572197714179E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,575.0,297824.0
21000.0,0.787590974,6.043291450736218E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,611.0,297824.0
22000.0,0.815493648,6.258273969387637E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,638.0,297824.0
23000.0,0.843056306,6.470636757182373E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,672.0,297824.0
24000.0,0.870386089,6.681205306402306E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,702.0,297824.0
25000.0,0.898060924,6.894432387490035E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,729.0,297824.0
26000.0,0.925603226,7.106638337837949E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,772.0,297824.0
27000.0,0.953312095,7.320127641644538E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,799.0,297824.0
28000.0,0.980873598,7.532481530478227E-8,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,829.0,297824.0
29000.0,1.008405803,7.744609686185712E-8,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,860.0,297824.0
30000.0,1.035664118,7.954627593892111E-8,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,884.0,297824.0
31000.0,1.062751343,8.16332729965428E-8,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,920.0,297824.0
32000.0,1.090385291,8.376239357520932E-8,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,946.0,297824.0
33000.0,1.11776741,8.587211141394868E-8,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,977.0,297824.0
34000.0,1.145395888,8.800081054398378E-8,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,996.0,297824.0
35000.0,1.17296058,9.012459513610231E-8,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,1020.0,297824.0
