learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.051267941,4.969825116501499E-9,1000.0,38.0,0.0,0.0,?,0.0,0.9736842105263158,?,0.0,1.0,19.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.157085736,1.5809285251680347E-8,2000.0,164.0,0.0,0.0,?,0.0,7.676829268292683,?,0.0,1.0,11.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.212508799,2.149355113931E-8,3000.0,229.0,0.0,0.0,?,0.0,7.816593886462882,?,0.0,1.0,26.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.270460956,2.7457354004018833E-8,4000.0,229.0,0.0,0.0,?,0.0,7.816593886462882,?,0.0,0.0,70.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.320353656,3.256688037436041E-8,5000.0,254.0,0.0,0.0,?,0.0,17.503937007874015,?,0.0,1.0,7.0,1824.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.355066386,3.613072983078244E-8,6000.0,254.0,0.0,0.0,?,0.0,17.503937007874015,?,0.0,1.0,39.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.399558578,4.069556795503116E-8,7000.0,256.0,0.0,0.0,?,0.0,22.8203125,?,0.0,1.0,32.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.442346914,4.5077445722474814E-8,8000.0,286.0,0.0,0.0,?,0.0,25.846153846153847,?,0.0,0.0,7.0,1816.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.485262563,4.947644703868776E-8,9000.0,323.0,0.0,0.0,?,0.0,25.055727554179565,?,0.0,0.0,20.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.527188855,5.378115108005288E-8,10000.0,360.0,0.0,0.0,?,0.0,23.927777777777777,?,0.0,0.0,40.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.569096946,5.8076093644133454E-8,11000.0,385.0,0.0,0.0,?,0.0,26.4,?,0.0,1.0,17.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.612767225,6.255109142147419E-8,12000.0,404.0,0.0,0.0,?,0.0,27.462871287128714,?,0.0,0.0,16.0,1824.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.654800756,6.686045555063627E-8,13000.0,410.0,0.0,0.0,?,0.0,29.475609756097562,?,0.0,1.0,22.0,1816.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.694857191,7.097773505925305E-8,14000.0,410.0,0.0,0.0,?,0.0,29.475609756097562,?,0.0,0.0,53.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.736512462,7.524461216507272E-8,15000.0,418.0,0.0,0.0,?,0.0,33.80622009569378,?,0.0,1.0,11.0,1816.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.771868766,7.886780341692682E-8,16000.0,440.0,0.0,0.0,?,0.0,35.17272727272727,?,0.0,0.0,1.0,1640.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.803498033,8.211691607335995E-8,17000.0,455.0,0.0,0.0,?,0.0,34.04615384615385,?,0.0,0.0,47.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
