learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.068018972,6.984988375811113E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,17.0,27992.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.188599996,2.033070013990833E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,46.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.234455008,2.541373519200418E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,67.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.277547282,3.019729830202544E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,85.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.304993917,3.324760087719188E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,103.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.336177041,3.671929198158078E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,123.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.364858324,3.991773014395602E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,150.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.39316364,4.30802170039879E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,168.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.420495046,4.6136662870405455E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,183.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.447568972,4.916711660405829E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,197.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.482223494,5.305318622124279E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,216.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.509563501,5.6128247836430875E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,246.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.536914419,5.920889529654136E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,269.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.563970126,6.226043551975861E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,291.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.614960826,6.788194741931433E-8,15000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,1.0,9.0,28960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.647207896,7.145487156371482E-8,16000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,2.0,26.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.673984181,7.442651805730536E-8,17000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,5.0,50.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.700158404,7.733383922150358E-8,18000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,4.0,60.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.726430424,8.025686243209367E-8,19000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,4.0,81.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.753075441,8.32251351024914E-8,20000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,4.0,101.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.779874218,8.621580571518175E-8,21000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,2.0,121.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.806650121,8.92080244032873E-8,22000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,5.0,143.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.832990724,9.21544328914417E-8,23000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,1.0,159.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.859916343,9.517280000216223E-8,24000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,2.0,182.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.886500313,9.815556409222176E-8,25000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,3.0,197.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.914336534,1.0128349916399765E-7,26000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,1.0,220.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.941270441,1.0431857050787656E-7,27000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,2.0,248.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.968016611,1.0733519888768591E-7,28000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,4.0,263.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.994961227,1.1037889369406632E-7,29000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,1.0,287.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.021748711,1.1341043808158899E-7,30000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,1.0,318.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.04870144,1.1646414172988797E-7,31000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,2.0,336.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.075698932,1.19527051646875E-7,32000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,5.0,358.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.102557497,1.2258187102326915E-7,33000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,1.0,372.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.12925065,1.2562146777297266E-7,34000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,3.0,391.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.157598254,1.2885380125589875E-7,35000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,4.0,413.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.18516635,1.3200198696826273E-7,36000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,3.0,438.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.206769563,1.3447231124919527E-7,37000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,2.0,460.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.224072462,1.3645257832481214E-7,38000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,5.0,473.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.241219566,1.3841686047302765E-7,39000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,5.0,489.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.260060142,1.40577555415502E-7,40000.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,1.0,0.0,0.0,507.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
