learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.057544952,5.744683876368734E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,26.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.143603406,1.4838118379513421E-8,2000.0,13.0,0.0,0.0,?,0.0,0.9230769230769231,?,0.0,2.0,21.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.193986668,2.0160967085531187E-8,3000.0,32.0,0.0,0.0,?,0.0,34.25,?,0.0,2.0,18.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.236080625,2.460650611081678E-8,4000.0,61.0,0.0,0.0,?,0.0,36.34426229508197,?,0.0,2.0,13.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.262067295,2.7343372715270767E-8,5000.0,92.0,0.0,0.0,?,0.0,37.65217391304348,?,0.0,0.0,2.0,11464.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.295116106,3.082442095121783E-8,6000.0,95.0,0.0,0.0,?,0.0,46.72631578947368,?,0.0,0.0,4.0,11464.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.328631684,3.436545478398808E-8,7000.0,118.0,0.0,0.0,?,0.0,43.186440677966104,?,0.0,0.0,19.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.356548682,3.731237978787679E-8,8000.0,138.0,0.0,0.0,?,0.0,46.53623188405797,?,0.0,1.0,6.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.385683173,4.039017522428392E-8,9000.0,142.0,0.0,0.0,?,0.0,50.73943661971831,?,0.0,1.0,17.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.422864425,4.4318038172893644E-8,10000.0,161.0,0.0,0.0,?,0.0,50.68944099378882,?,0.0,1.0,17.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.453397433,4.754376385384757E-8,11000.0,204.0,0.0,0.0,?,0.0,44.06372549019608,?,0.0,1.0,18.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.484424787,5.0821908430537835E-8,12000.0,292.0,0.0,0.0,?,0.0,34.39041095890411,?,0.0,1.0,19.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.509281426,5.345375493801096E-8,13000.0,292.0,0.0,0.0,?,0.0,34.39041095890411,?,0.0,0.0,47.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.539731589,5.6668081446799144E-8,14000.0,334.0,0.0,0.0,?,0.0,36.967065868263475,?,0.0,2.0,6.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.572051961,6.008203505022245E-8,15000.0,360.0,0.0,0.0,?,0.0,36.352777777777774,?,0.0,2.0,16.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.602918401,6.334049550304397E-8,16000.0,434.0,0.0,0.0,?,0.0,33.09907834101382,?,0.0,1.0,7.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.631791314,6.638814785694083E-8,17000.0,483.0,0.0,0.0,?,0.0,31.824016563146998,?,0.0,2.0,5.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.66190328,6.956976556436469E-8,18000.0,489.0,0.0,0.0,?,0.0,33.012269938650306,?,0.0,1.0,20.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.696528227,7.322979947257166E-8,19000.0,561.0,0.0,0.0,?,0.0,30.40819964349376,?,0.0,0.0,24.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.731635149,7.693874619261465E-8,20000.0,603.0,0.0,0.0,?,0.0,30.023217247097843,?,0.0,0.0,18.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.764243617,8.038886732209267E-8,21000.0,605.0,0.0,1.0,78.0,0.12892561983471074,30.736754966887418,0.0,1.0,2.0,36.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.79618519,8.376584983866454E-8,22000.0,610.0,0.0,1.0,78.0,0.12786885245901639,32.49261083743843,0.0,1.0,2.0,27.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.827225255,8.704848516947693E-8,23000.0,617.0,0.0,1.0,78.0,0.12641815235008103,33.52922077922078,0.0,1.0,1.0,32.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.857031855,9.019691271467342E-8,24000.0,653.0,0.0,1.0,78.0,0.11944869831546708,33.90950920245399,0.0,1.0,1.0,16.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.888655618,9.353649914404999E-8,25000.0,675.0,0.0,1.0,78.0,0.11555555555555555,34.347181008902076,0.0,1.0,1.0,12.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.913270532,9.614259873035882E-8,26000.0,675.0,0.0,1.0,78.0,0.11555555555555555,34.347181008902076,0.0,1.0,1.0,46.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.940425458,9.90149240301508E-8,27000.0,715.0,0.0,1.0,78.0,0.10909090909090909,34.60644257703081,0.0,1.0,2.0,34.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.965065527,1.0162899040124276E-7,28000.0,715.0,0.0,1.0,78.0,0.10909090909090909,34.60644257703081,0.0,1.0,1.0,74.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.992069707,1.0448240840641782E-7,29000.0,722.0,0.0,1.0,78.0,0.10803324099722991,37.45769764216366,0.0,1.0,1.0,21.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.018449062,1.0726865729239252E-7,30000.0,734.0,0.0,1.0,78.0,0.10626702997275204,38.167803547066846,0.0,1.0,1.0,15.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.044705922,1.100427830915153E-7,31000.0,770.0,0.0,1.0,78.0,0.1012987012987013,37.88426527958387,0.0,1.0,2.0,19.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.073718591,1.131116120466445E-7,32000.0,778.0,0.0,1.0,78.0,0.10025706940874037,38.36036036036036,0.0,1.0,0.0,34.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.09879571,1.1576000433621307E-7,33000.0,835.0,0.0,1.0,78.0,0.09341317365269461,37.330935251798564,0.0,1.0,1.0,13.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.123443835,1.1836620233383029E-7,34000.0,863.0,0.0,1.0,78.0,0.09038238702201622,36.85266821345708,0.0,1.0,1.0,29.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.149963698,1.2116795062978855E-7,35000.0,882.0,0.0,1.0,78.0,0.08843537414965986,37.61520998864926,0.0,1.0,2.0,18.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.176820434,1.240024538769966E-7,36000.0,913.0,0.0,1.0,78.0,0.08543263964950712,37.75657894736842,0.0,1.0,1.0,3.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.19913776,1.2635342641477576E-7,37000.0,968.0,0.0,1.0,78.0,0.08057851239669421,36.59875904860393,0.0,1.0,0.0,6.0,11464.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.214774386,1.2800500325480474E-7,38000.0,998.0,0.0,1.0,78.0,0.0781563126252505,36.052156469408224,0.0,1.0,2.0,15.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.231439903,1.297650470112057E-7,39000.0,1014.0,0.0,1.0,78.0,0.07692307692307693,36.796643632773936,0.0,1.0,2.0,13.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.248617544,1.315810247864305E-7,40000.0,1029.0,0.0,1.0,78.0,0.07580174927113703,36.90661478599222,0.0,1.0,2.0,26.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.263156426,1.3312234231302927E-7,41000.0,1029.0,0.0,2.0,39.0,0.07580174927113703,36.90661478599222,0.5,1.0,2.0,63.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.278682544,1.3476507473978937E-7,42000.0,1067.0,0.0,2.0,581.0,1.0890346766635426,37.1887323943662,0.0,2.0,1.0,36.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.294180928,1.3640253127111534E-7,43000.0,1075.0,0.0,2.0,581.0,1.0809302325581396,38.19571295433364,0.0,2.0,2.0,19.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.308603997,1.3792983975431777E-7,44000.0,1075.0,0.0,2.0,581.0,1.0809302325581396,38.19571295433364,0.0,2.0,0.0,49.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.324248745,1.3958434668033279E-7,45000.0,1109.0,0.0,2.0,581.0,1.047790802524797,38.769647696476966,0.0,2.0,1.0,32.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
