learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.024824934,2.305579916574061E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,16.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.098872412,9.499551672496731E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,34.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.133125263,1.2827336079331323E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,58.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.188462126,1.820350607506517E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,71.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.213806663,2.0665816585423634E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,86.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.235165325,2.2740885383476404E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,112.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.26005741,2.5159238597829313E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,128.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.282613532,2.7350644827642378E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,144.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.305044119,2.9529854892659936E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,160.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.327137307,3.1676285463466E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,179.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.353805116,3.426991607440429E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,205.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.375879902,3.641684313164817E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,229.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.39809453,3.857737079972194E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,255.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.420439325,4.0750558117328E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,271.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.442034439,4.285083372366304E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,282.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.46341092,4.492984574432588E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,299.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.484978157,4.702741011778306E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,326.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.50687682,4.91572079836453E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,347.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.528484888,5.1258743456920816E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,367.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.549996775,5.3350924656442886E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,384.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.573214677,5.560902772553886E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,398.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.597508951,5.797181548650273E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,416.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.61895121,6.005722487690548E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,432.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.640560179,6.215884797872147E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,456.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.661968587,6.42409651230379E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,475.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.683310395,6.63166049523755E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,497.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.704533722,6.838072167726854E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,523.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.725715683,7.044081526985806E-8,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,537.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.746782336,7.248969435440584E-8,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,548.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.767867402,7.454036423175699E-8,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,569.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.789144541,7.660971454934734E-8,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,594.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.811807984,7.881389260964675E-8,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,616.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.833625403,8.093578892929065E-8,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,637.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.854844606,8.299950456639131E-8,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,661.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.875868183,8.504419420919691E-8,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,679.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.89691038,8.709069477700111E-8,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,699.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.917943476,8.913631020901517E-8,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,715.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.938948221,9.117916830834208E-8,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,734.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.959792614,9.320643105614516E-8,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,753.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.980667878,9.52366962242292E-8,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,772.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,0.998257388,9.694739887578206E-8,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,795.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.012303347,9.831346645270164E-8,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,810.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.025797745,9.962589087155751E-8,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,835.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.040586389,1.0106418974990439E-7,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,855.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.054444089,1.0241194782471285E-7,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,873.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.067785235,1.0370946741661471E-7,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,894.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.081099637,1.0500438596779895E-7,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,918.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.094598398,1.0631723471886582E-7,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,938.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.108306973,1.076504893462836E-7,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,956.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.121647421,1.0894794105281227E-7,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,969.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.134968829,1.1024354098641004E-7,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,992.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.148783206,1.1158708559700185E-7,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1016.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.162173571,1.1288939208028425E-7,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1038.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.175456457,1.1418124548043436E-7,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1056.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.188736253,1.1547279835651112E-7,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1073.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.202029375,1.1676564727912555E-7,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1094.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
