learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.629592478,3.3571094028104093E-7,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,58.0,2079576.0
2000.0,0.969036513,5.206902483792851E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,123.0,2107288.0
3000.0,1.196247459,6.461828865010912E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,173.0,2134968.0
4000.0,1.390615406,7.543262041171019E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,213.0,2150688.0
5000.0,1.571333082,8.572037094757995E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,264.0,2200504.0
6000.0,1.726448152,9.488976987851577E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,316.0,2285016.0
7000.0,1.886693832,1.047102869344544E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,368.0,2368920.0
8000.0,2.062549941,1.1566446579892229E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,424.0,2407824.0
9000.0,2.210233948,1.2532391011205108E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,470.0,2528256.0
10000.0,3.803183847,3.671580877604416E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,522.0,5868376.0
11000.0,4.151373141,4.201119439030606E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,558.0,5878744.0
12000.0,4.396430528,4.574852075389123E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,615.0,5895160.0
13000.0,4.635458167,4.940136826726295E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,657.0,5907256.0
14000.0,4.878947154,5.3132190932557725E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,711.0,5922808.0
15000.0,5.170569574,5.761182907692458E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,763.0,5937784.0
16000.0,5.491943673,6.255854200957261E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,805.0,5949880.0
17000.0,5.822687987,6.766402387126424E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,864.0,5966872.0
18000.0,6.084117692,7.171142342305352E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,925.0,5984440.0
19000.0,6.336682074,7.563192154610181E-6,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,980.0,6000280.0
20000.0,6.577166373,7.937171199318909E-6,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1018.0,6011224.0
21000.0,6.822705886,8.320148931914447E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,1066.0,6029128.0
22000.0,7.072517339,8.710850686040585E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,1123.0,6045544.0
23000.0,7.331106137,9.116185608987636E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1170.0,6059080.0
24000.0,7.572556869,9.495538298081377E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1219.0,6073192.0
25000.0,7.811956189,9.872470582311287E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1264.0,6086152.0
26000.0,8.052272762,1.0251670703015174E-5,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1310.0,6099400.0
27000.0,8.303167252,1.0648795665785637E-5,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,1376.0,6118408.0
28000.0,8.549914136,1.1040127777456153E-5,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,1418.0,6130504.0
29000.0,8.873586863,1.1554956803726843E-5,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,1480.0,6148360.0
30000.0,9.187613455,1.2055542480916603E-5,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1527.0,6161896.0
