learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.097675859,9.24090656652012E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,22.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.219415027,2.127942883445778E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,46.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.276474453,2.6921911708143435E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,69.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.33873752,3.3078971353479556E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,107.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.37475438,3.664060051732593E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,132.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.415063384,4.062667049155467E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,169.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.46062443,4.513210350734078E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,192.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.504081615,4.9433987234104425E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,219.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.540543427,5.304338981485408E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,246.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.576464899,5.6599303430478194E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,269.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.612803607,6.019651978484666E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,301.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.649264396,6.38058210974849E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,336.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.685259448,6.736901849379142E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,363.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.721902509,7.099636315071541E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,398.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.760504167,7.481759189289683E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,437.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.796629551,7.839369102478233E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,468.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.833256298,8.201942073745444E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,501.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.869232188,8.558072126225463E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,524.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.905106338,8.913195041104735E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,549.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.941527472,9.273732622323762E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,582.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.994178356,9.79513766341739E-8,21000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,0.0,22.0,30240.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.030923971,1.0159031817579847E-7,22000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,2.0,56.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.067885343,1.052506262698728E-7,23000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,1.0,83.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.104315681,1.0885834573037506E-7,24000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,2.0,106.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.140971901,1.1248843442849399E-7,25000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,1.0,142.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.177805745,1.1613611334390522E-7,26000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,5.0,170.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.214010418,1.1972148505643836E-7,27000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,0.0,190.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.277402985,1.2637058040536937E-7,28000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,1.0,212.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.314974485,1.303113655435128E-7,29000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,3.0,249.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.351937351,1.3418831251118743E-7,30000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,2.0,281.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.389268543,1.381038923156344E-7,31000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,4.0,307.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.426327054,1.419908712595287E-7,32000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,4.0,331.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.463456139,1.4588525254217285E-7,33000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,1.0,365.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.520187021,1.5186837716553357E-7,34000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,4.0,394.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.565837807,1.5661463063424243E-7,35000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,5.0,429.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.609647578,1.611694761427533E-7,36000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,4.0,457.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.64681104,1.6503331345821003E-7,37000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,5.0,484.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.680987931,1.68586640830458E-7,38000.0,116.0,1.0,1.0,58.0,0.5,0.991304347826087,0.0,1.0,5.0,508.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
