learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.149558631,1.1784327111790576E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,23.0,316920.0
2000.0,0.282346905,2.2671296517762045E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,42.0,316920.0
3000.0,0.351190044,2.8315568602389346E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,58.0,316920.0
4000.0,0.399625765,3.228668891895562E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,70.0,316920.0
5000.0,0.4352672,3.520883859935527E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,98.0,316920.0
6000.0,0.476430453,3.858370795010278E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,121.0,316920.0
7000.0,0.519263114,4.209544777348016E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,140.0,316920.0
8000.0,0.561881147,4.5589590798591565E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,169.0,316920.0
9000.0,0.603913741,4.903573518428951E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,184.0,316920.0
10000.0,0.646019088,5.248784440152967E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,202.0,316920.0
11000.0,0.688160386,5.5942901148889206E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,226.0,316920.0
12000.0,0.730270595,5.9395408989017204E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,252.0,316920.0
13000.0,0.765123782,6.225293224118028E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,273.0,316920.0
14000.0,0.800062024,6.511742893425747E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,296.0,316920.0
15000.0,0.835624421,6.803309849211325E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,319.0,316920.0
16000.0,0.870618909,7.090220665021489E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,344.0,316920.0
17000.0,0.905549754,7.376609688226755E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,365.0,316920.0
18000.0,0.94093442,7.666719473208611E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,380.0,316920.0
19000.0,0.975927329,7.953617343203475E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,401.0,316920.0
20000.0,1.011115426,8.242115509459749E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,420.0,316920.0
21000.0,1.046649675,8.533451687025528E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,438.0,316920.0
22000.0,1.082045989,8.823656970966608E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,463.0,316920.0
23000.0,1.117104901,9.111095982600003E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,482.0,316920.0
24000.0,1.169610495,9.541575857291619E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,497.0,316920.0
25000.0,1.221336749,9.965666123562803E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,524.0,316920.0
26000.0,1.273545333,1.0393710889576624E-7,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,544.0,316920.0
27000.0,1.309563338,1.068901325829265E-7,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,563.0,316920.0
28000.0,1.34503163,1.0979808671362077E-7,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,584.0,316920.0
29000.0,1.380964409,1.1274412294001628E-7,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,604.0,316920.0
30000.0,1.416455293,1.1565392933074385E-7,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,621.0,316920.0
31000.0,1.451375196,1.185169224563303E-7,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,640.0,316920.0
32000.0,1.486919325,1.2143109426780293E-7,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,663.0,316920.0
33000.0,1.522659627,1.2436134979950885E-7,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,685.0,316920.0
34000.0,1.558161418,1.2727205042714251E-7,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,705.0,316920.0
35000.0,1.593797456,1.3019375762137892E-7,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,722.0,316920.0
36000.0,1.629169515,1.3309382185565926E-7,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,736.0,316920.0
37000.0,1.664877282,1.3602140992630893E-7,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,751.0,316920.0
38000.0,1.700994418,1.3898256110945716E-7,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,765.0,316920.0
39000.0,1.736411784,1.4188633994825806E-7,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,786.0,316920.0
40000.0,1.771966551,1.4480138394201797E-7,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,803.0,316920.0
41000.0,1.807676885,1.477291824744021E-7,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,820.0,316920.0
42000.0,1.834535522,1.4993125311284637E-7,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,835.0,316920.0
43000.0,1.86046792,1.5205738379551099E-7,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,853.0,316920.0
44000.0,1.886481169,1.5419014324393124E-7,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,871.0,316920.0
45000.0,1.91477203,1.5650963824825363E-7,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,885.0,316920.0
46000.0,1.941251096,1.586805888356579E-7,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,909.0,316920.0
47000.0,1.967348257,1.6082022801335905E-7,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,930.0,316920.0
48000.0,1.993569104,1.629700078884078E-7,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,943.0,316920.0
49000.0,2.019629144,1.6510660361069568E-7,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,957.0,316920.0
50000.0,2.045564622,1.672329868146467E-7,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,977.0,316920.0
51000.0,2.071732149,1.6937839511989307E-7,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,987.0,316920.0
52000.0,2.097677737,1.71505607216768E-7,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1009.0,316920.0
53000.0,2.12412798,1.7367419468045858E-7,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,1026.0,316920.0
54000.0,2.150304885,1.7582037186382963E-7,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,1052.0,316920.0
55000.0,2.176410504,1.779607044912192E-7,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,1074.0,316920.0
