learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.100346816,9.86305993768904E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,27.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.21465181,2.1587284257246386E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,48.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.274674256,2.7743766108883748E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,66.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.33854157,3.429461476229959E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,86.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.378196642,3.8362021996809376E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,109.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.412312547,4.186127875793311E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,133.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.450964359,4.5825781955801774E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,154.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.48965003,4.9793758059773174E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,173.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.527063039,5.36311976556811E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,188.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.572416359,5.828776542211572E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,212.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
