learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.194284305,5.7933402277529236E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,18.0,1172536.0
2000.0,0.412073537,1.2950651472416188E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,38.0,1270328.0
3000.0,0.58395449,1.9179659303667437E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,53.0,1400856.0
4000.0,0.724725561,2.4827326239046124E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,80.0,1550808.0
5000.0,0.852693372,3.016791008004401E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,97.0,1613208.0
6000.0,0.951751678,3.4642473564694113E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,117.0,1746072.0
7000.0,1.058155125,3.979781832056492E-7,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,136.0,1872856.0
8000.0,1.173701852,4.5688603010984753E-7,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,153.0,1970688.0
9000.0,1.257306803,5.021632952131207E-7,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,179.0,2093392.0
10000.0,1.329953475,5.439551737209202E-7,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,206.0,2223712.0
11000.0,1.3982801,5.849791063780213E-7,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,231.0,2320864.0
12000.0,1.463264045,6.254881080442666E-7,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,252.0,2409616.0
13000.0,1.544994598,6.789745284498213E-7,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,276.0,2529656.0
14000.0,1.615207104,7.272414301733651E-7,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,301.0,2657280.0
15000.0,1.686977059,7.786776432192532E-7,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,325.0,2770312.0
16000.0,1.791499367,8.569969361038298E-7,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,351.0,2896424.0
17000.0,1.913052859,9.50941409996512E-7,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,371.0,2987488.0
18000.0,2.042083547,1.0542513989192536E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,398.0,3094936.0
19000.0,2.133875609,1.1295258797793007E-6,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,415.0,3169896.0
20000.0,2.215266273,1.1973849229886549E-6,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,431.0,3222816.0
21000.0,2.302405667,1.2726091891243267E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,450.0,3336920.0
22000.0,2.388937683,1.3488711261163031E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,464.0,3406696.0
23000.0,2.483667495,1.4356112106323366E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,486.0,3539448.0
24000.0,3.179716262,2.713521460673695E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,503.0,7096808.0
25000.0,3.414216061,3.1442375673739196E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,527.0,7099880.0
26000.0,3.597637358,3.481275236672761E-6,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,550.0,7102824.0
27000.0,3.761291392,3.782071736391077E-6,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,565.0,7104744.0
28000.0,3.926096724,4.085126214679577E-6,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,591.0,7108072.0
29000.0,4.091062208,4.388595368160231E-6,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,613.0,7110888.0
30000.0,4.256006896,4.6921464278950185E-6,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,635.0,7113704.0
31000.0,4.419068818,4.992329787596044E-6,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,653.0,7116008.0
32000.0,4.581410331,5.291305200573259E-6,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,675.0,7118824.0
33000.0,4.744610197,5.591964073791396E-6,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,694.0,7121256.0
34000.0,4.908512373,5.893987350755889E-6,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,707.0,7122920.0
35000.0,5.072908349,6.197013099081426E-6,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,724.0,7125096.0
36000.0,5.237064589,6.49968935877079E-6,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,741.0,7127272.0
37000.0,5.416167874,6.830032187754324E-6,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,759.0,7129576.0
38000.0,5.670087829,7.29859588092982E-6,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,786.0,7133032.0
39000.0,5.876632828,7.679922263191291E-6,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,813.0,7136488.0
