learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.051246155,3.7153645849165817E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,25.0,293616.0
2000.0,0.130255726,9.716826451004793E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,54.0,293616.0
3000.0,0.167362996,1.2535445297316958E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,74.0,293616.0
4000.0,0.204450828,1.5352587659017493E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,106.0,293616.0
5000.0,0.243221464,1.8297553573058297E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,131.0,293616.0
6000.0,0.275147913,2.0722644150921454E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,158.0,293616.0
7000.0,0.306193853,2.3080852436938633E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,186.0,293616.0
8000.0,0.338992073,2.5572161579796422E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,213.0,293616.0
9000.0,0.363560822,2.7438371057392408E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,250.0,293616.0
10000.0,0.387420653,2.925073206714665E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,295.0,293616.0
11000.0,0.41059365,3.1010922080309444E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,332.0,293616.0
12000.0,0.43380208,3.277380353699749E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,358.0,293616.0
13000.0,0.457247938,3.455471970859294E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,390.0,293616.0
14000.0,0.480290868,3.6305030005530764E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,422.0,293616.0
15000.0,0.503964472,3.810324546019857E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,459.0,293616.0
16000.0,0.527462605,3.9888132371225704E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,495.0,293616.0
17000.0,0.551099257,4.168354100114976E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,523.0,293616.0
18000.0,0.574813361,4.348483278191959E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,563.0,293616.0
19000.0,0.596566621,4.513718146196877E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,591.0,293616.0
