learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.051764,4.3036693665716385E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,34.0,4520.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.144801,1.2511879373341798E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,60.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.192675,1.6748553185413282E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,93.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.254653,2.2198489939586985E-8,4000.0,59.0,0.0,0.0,?,0.0,14.186440677966102,?,0.0,0.0,1.0,3840.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.301558,2.632892800288068E-8,5000.0,66.0,0.0,0.0,?,0.0,12.787878787878787,?,0.0,1.0,26.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.365572,3.195167043970691E-8,6000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,0.0,3.0,4344.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.406007,3.5512613596187694E-8,7000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,26.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.44104,3.860710553824901E-8,8000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,58.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.472634,4.140528208679623E-8,9000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,87.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.505568,4.43322257614798E-8,10000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,122.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.539686,4.737067944059769E-8,11000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,149.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.578174,5.0809624108175434E-8,12000.0,97.0,0.0,0.0,?,0.0,28.608247422680414,?,0.0,1.0,179.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.618645,5.4363351518081294E-8,13000.0,100.0,0.0,0.0,?,0.0,97.89,?,0.0,1.0,3.0,3904.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.63757,5.6033679693937305E-8,14000.0,100.0,0.0,0.0,?,0.0,97.89,?,0.0,1.0,40.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.653658,5.7458674063285194E-8,15000.0,100.0,0.0,0.0,?,0.0,97.89,?,0.0,0.0,76.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.670893,5.898904492457708E-8,16000.0,100.0,0.0,0.0,?,0.0,97.89,?,0.0,1.0,107.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.687096,6.043250827118755E-8,17000.0,100.0,0.0,0.0,?,0.0,97.89,?,0.0,1.0,141.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.707971,6.226833417597744E-8,18000.0,105.0,0.0,0.0,?,0.0,140.44761904761904,?,0.0,1.0,4.0,4400.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.729142,6.413001617002818E-8,19000.0,165.0,0.0,0.0,?,0.0,95.27272727272727,?,0.0,0.0,5.0,4344.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.747419,6.574160072952508E-8,20000.0,165.0,0.0,0.0,?,0.0,95.27272727272727,?,0.0,0.0,30.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.775253,6.81968007236719E-8,21000.0,185.0,0.0,1.0,70.0,0.3783783783783784,91.98913043478261,0.0,1.0,1.0,34.0,4544.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.798912,7.027868616498178E-8,22000.0,194.0,0.0,1.0,70.0,0.36082474226804123,96.06217616580311,0.0,1.0,0.0,9.0,4480.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.821178,7.22375791437096E-8,23000.0,295.0,0.0,1.0,70.0,0.23728813559322035,66.91836734693878,0.0,1.0,0.0,7.0,4456.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.839979,7.389649610138602E-8,24000.0,295.0,0.0,1.0,70.0,0.23728813559322035,66.91836734693878,0.0,1.0,0.0,35.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.857585,7.545587442401383E-8,25000.0,295.0,0.0,1.0,70.0,0.23728813559322035,66.91836734693878,0.0,1.0,1.0,75.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.874789,7.698327902704478E-8,26000.0,295.0,0.0,1.0,70.0,0.23728813559322035,66.91836734693878,0.0,1.0,0.0,105.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.891661,7.848515380173923E-8,27000.0,295.0,0.0,1.0,70.0,0.23728813559322035,66.91836734693878,0.0,1.0,1.0,131.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.90972,8.007493721528187E-8,28000.0,371.0,0.0,1.0,70.0,0.18867924528301888,65.98378378378378,0.0,1.0,0.0,12.0,4528.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
