learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.026343248,2.374570037325223E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,21.0,15376.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.132344294,1.2404201851164302E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,39.0,16648.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.184090005,1.730232443334949E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,58.0,16800.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.242327453,2.2815662151183935E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,82.0,16848.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.284983468,2.685425912857056E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,101.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.316776345,2.986455057488134E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,121.0,16904.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.357566622,3.372684041715538E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,138.0,16912.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.390285158,3.6824980531055486E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,160.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.422831565,3.990688899275123E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,185.0,16936.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.453694571,4.282939160094287E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,196.0,16936.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.486402396,4.592617902156174E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,217.0,16936.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.534712955,5.057792574965707E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,239.0,16944.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.566186478,5.3608461116405426E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,261.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.609481963,5.777265492379253E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,283.0,16952.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.645390697,6.122809449811364E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,302.0,16952.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.676640229,6.423518657637554E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,318.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.707938924,6.724707430681628E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,346.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.739081822,7.024396962071252E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,365.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.770031932,7.322231285722098E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,381.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.801293753,7.623065218578196E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,399.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.837578585,7.97204807771287E-8,21000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,9.0,422.0,16960.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.869083448,8.275057808235702E-8,22000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,3.0,445.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.900269438,8.57500065915328E-8,23000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,8.0,466.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.931589687,8.876234795908548E-8,24000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,9.0,494.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.962712213,9.175567258216027E-8,25000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,1.0,510.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.003527229,9.56837425884977E-8,26000.0,0.0,4.0,1.0,0.0,?,?,1.0,0.0,0.0,528.0,16960.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.04023683,9.922870810456988E-8,27000.0,0.0,6.0,1.0,0.0,?,?,1.0,0.0,3.0,549.0,16960.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.071331179,1.0223142107194083E-7,28000.0,0.0,6.0,1.0,0.0,?,?,1.0,0.0,3.0,569.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.102559617,1.0524708271944274E-7,29000.0,0.0,6.0,1.0,0.0,?,?,1.0,0.0,4.0,592.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.134332635,1.0831533326108008E-7,30000.0,0.0,6.0,1.0,0.0,?,?,1.0,0.0,5.0,608.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.16547235,1.1132242712340007E-7,31000.0,0.0,6.0,1.0,0.0,?,?,1.0,0.0,2.0,629.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.202075674,1.1485887205539891E-7,32000.0,0.0,8.0,1.0,0.0,?,?,1.0,0.0,7.0,648.0,16960.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.233222665,1.178681511708411E-7,33000.0,0.0,8.0,1.0,0.0,?,?,1.0,0.0,1.0,675.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.264060615,1.2084757216524954E-7,34000.0,0.0,8.0,1.0,0.0,?,?,1.0,0.0,9.0,690.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.294894022,1.238265542358781E-7,35000.0,0.0,8.0,1.0,0.0,?,?,1.0,0.0,2.0,709.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.328735212,1.27088850532141E-7,36000.0,0.0,9.0,1.0,0.0,?,?,1.0,0.0,6.0,727.0,16960.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.359869028,1.300901555283699E-7,37000.0,0.0,9.0,1.0,0.0,?,?,1.0,0.0,9.0,743.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.396329478,1.335949883647553E-7,38000.0,0.0,11.0,1.0,0.0,?,?,1.0,0.0,7.0,768.0,16960.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.430000454,1.3684087600335065E-7,39000.0,0.0,12.0,1.0,0.0,?,?,1.0,0.0,2.0,789.0,16960.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.461454272,1.3987302924514645E-7,40000.0,0.0,12.0,1.0,0.0,?,?,1.0,0.0,1.0,809.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.48652997,1.422903306672184E-7,41000.0,0.0,12.0,2.0,0.0,?,?,1.0,0.0,1.0,827.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.508187775,1.443781466404949E-7,42000.0,0.0,12.0,2.0,0.0,?,?,1.0,0.0,4.0,846.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.529922604,1.464733877400723E-7,43000.0,0.0,12.0,2.0,0.0,?,?,1.0,0.0,2.0,870.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.553658659,1.4876154735604304E-7,44000.0,0.0,12.0,2.0,0.0,?,?,1.0,0.0,3.0,891.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.579705203,1.5127955409469914E-7,45000.0,0.0,14.0,2.0,0.0,?,?,1.0,0.0,9.0,908.0,16960.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.602082561,1.53442848320502E-7,46000.0,0.0,14.0,2.0,0.0,?,?,1.0,0.0,9.0,932.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.624580229,1.5561777331738635E-7,47000.0,0.0,14.0,2.0,0.0,?,?,1.0,0.0,4.0,949.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.647080604,1.5779296000903684E-7,48000.0,0.0,14.0,2.0,0.0,?,?,1.0,0.0,2.0,970.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
