learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.071728408,7.42648431620664E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,27.0,13320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.195930738,2.116579894704123E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,60.0,16832.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.25280107,2.7468824603449965E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,84.0,16864.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.317399587,3.464401892831963E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,110.0,16864.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.358212005,3.918657963824976E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,142.0,16888.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.40108954,4.397132968604151E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,172.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.461493459,5.060260694621545E-8,7000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,4.0,26.0,14216.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.507096395,5.564948826692378E-8,8000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,5.0,58.0,16624.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.552394249,6.067301223875541E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,82.0,16728.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.597858956,6.572755468304165E-8,10000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,7.0,113.0,16736.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.643238374,7.078369738128657E-8,11000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,4.0,148.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.688997671,7.589646618850529E-8,12000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,4.0,181.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.736106017,8.11712761757647E-8,13000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,9.0,217.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.781968309,8.632260410579128E-8,14000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,2.0,249.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.827859473,9.148743246073939E-8,15000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,281.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.865247463,9.570339447655612E-8,16000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,312.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
