learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.071854164,5.282617831751704E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,6.0,297824.0
2000.0,0.174358007,1.3180260308451122E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,15.0,297824.0
3000.0,0.234401102,1.7806417568764752E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,25.0,297824.0
4000.0,0.287965253,2.1933389804975852E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,37.0,297824.0
5000.0,0.324329636,2.473516666928099E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,52.0,297824.0
6000.0,0.349568941,2.667978651392791E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,63.0,297824.0
7000.0,0.37806851,2.8875600837709174E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,71.0,297824.0
8000.0,0.406286997,3.1049758557428914E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,80.0,297824.0
9000.0,0.434165499,3.319772135704756E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,93.0,297824.0
10000.0,0.461930452,3.533693551486565E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,104.0,297824.0
11000.0,0.489570773,3.746654711585906E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,114.0,297824.0
12000.0,0.517322562,3.96047470232596E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,124.0,297824.0
13000.0,0.545418036,4.1769426925703884E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,134.0,297824.0
14000.0,0.573440419,4.3928475365274485E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,148.0,297824.0
15000.0,0.601560565,4.609505617825522E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,155.0,297824.0
16000.0,0.6296201,4.825696707843907E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,170.0,297824.0
17000.0,0.657704753,5.042081325224705E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,180.0,297824.0
18000.0,0.685628946,5.257229641921819E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,186.0,297824.0
19000.0,0.713866782,5.4747944926793385E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,197.0,297824.0
20000.0,0.741965565,5.691287977869313E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,210.0,297824.0
21000.0,0.770563859,5.911630059536961E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,219.0,297824.0
22000.0,0.798811839,6.129273067057133E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,228.0,297824.0
23000.0,0.827080014,6.34707167156289E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,237.0,297824.0
