learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.025234428,2.292482495903969E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,19.0,16408.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.119247832,1.1301688636549645E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,44.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.16432009,1.562184878035966E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,59.0,16824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.22543515,2.1481350170270435E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,79.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.275266415,2.625982522079514E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,98.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.30983984,2.957525007240267E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,116.0,16904.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.352917894,3.370694109884608E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,139.0,16920.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.389945772,3.725880902890323E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,161.0,16920.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.424820346,4.060419526767193E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,184.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.457959171,4.37830776570013E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,204.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
