learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.403596143,2.0435328280986392E-7,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,22.0,1975040.0
2000.0,0.833047496,4.3357261863938637E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,46.0,2064000.0
3000.0,1.062446317,5.575081521752932E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,73.0,2088368.0
4000.0,1.319474533,6.98858722496724E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,98.0,2125784.0
5000.0,1.517112812,8.112214006721787E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,132.0,2197624.0
6000.0,1.646805372,8.872943244493483E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,164.0,2267344.0
7000.0,1.729311726,9.372850819415081E-7,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,194.0,2342096.0
8000.0,1.827442973,9.974657999012743E-7,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,222.0,2370568.0
9000.0,1.916630439,1.0533759572543742E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,258.0,2423200.0
10000.0,2.01034256,1.1138166747839522E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,285.0,2493080.0
11000.0,2.10512114,1.1757755385097137E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,313.0,2526944.0
12000.0,2.246768849,1.2746344095305374E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,352.0,2697792.0
13000.0,2.382173025,1.379438565212366E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,390.0,2991912.0
14000.0,2.536962132,1.505733663140997E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,418.0,3153904.0
15000.0,2.700562215,1.6426619018731785E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,444.0,3235280.0
16000.0,2.939492764,1.8563516882445602E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,479.0,3457120.0
17000.0,4.237375683,4.615868877724656E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,508.0,8218640.0
18000.0,4.502971247,5.18110396610187E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,535.0,8226416.0
19000.0,4.703067991,5.6074079546624735E-6,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,566.0,8235344.0
20000.0,4.919598443,6.069424663115689E-6,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,595.0,8247856.0
21000.0,5.124092862,6.506216852706276E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,625.0,8256496.0
22000.0,5.325753151,6.937391170966135E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,654.0,8264848.0
23000.0,5.52821904,7.370770676676112E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,686.0,8274064.0
24000.0,5.727920076,7.798648606018351E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,714.0,8282128.0
25000.0,5.929882217,8.231822582394975E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,744.0,8290768.0
26000.0,6.129636996,8.660723517421685E-6,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,775.0,8299696.0
27000.0,6.330876412,9.093306957575647E-6,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,808.0,8309200.0
28000.0,6.563230413,9.593293536306162E-6,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,838.0,8317840.0
29000.0,6.843381795,1.0196799941624368E-5,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,870.0,8327056.0
30000.0,7.124355116,1.0802809675577741E-5,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,905.0,8337136.0
31000.0,7.400505584,1.1398870014924915E-5,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,927.0,8343472.0
32000.0,7.635026318,1.1905633289145715E-5,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,959.0,8352688.0
33000.0,7.836804586,1.234206606718875E-5,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,987.0,8360752.0
34000.0,8.040361617,1.2782831507353972E-5,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,1019.0,8369968.0
35000.0,8.246129517,1.322898208432917E-5,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,1058.0,8381200.0
36000.0,8.516478474,1.3815702607209835E-5,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,1085.0,8388976.0
37000.0,8.721346672,1.4260802998467083E-5,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,1117.0,8398192.0
38000.0,8.925826543,1.4705562456327436E-5,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,1150.0,8407696.0
39000.0,9.129518479,1.5149108910568315E-5,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,1183.0,8417200.0
40000.0,9.329145911,1.5584331941906272E-5,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,1204.0,8427408.0
41000.0,9.579360802,1.6130515690005194E-5,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1240.0,8437776.0
42000.0,9.784090408,1.6578021630444522E-5,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,1280.0,8449296.0
43000.0,9.981401855,1.700981249908766E-5,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,1314.0,8459088.0
44000.0,10.181174008,1.7447583675535913E-5,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,1354.0,8470608.0
45000.0,10.380557692,1.7885097789212013E-5,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1394.0,8482128.0
46000.0,10.577668181,1.8318093705066574E-5,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,7.0,1426.0,8491344.0
47000.0,10.82995266,1.887304311611478E-5,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1466.0,8502864.0
48000.0,11.11623156,1.9503559142265216E-5,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,1503.0,8513520.0
49000.0,11.408435172,2.0147777198324844E-5,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,1533.0,8522160.0
50000.0,11.703711051,2.0799560638921195E-5,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,1569.0,8532528.0
51000.0,12.001240357,2.145724927089508E-5,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,1611.0,8544624.0
52000.0,12.296852808,2.2111493588621363E-5,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1647.0,8554992.0
53000.0,12.595497156,2.2773271325177742E-5,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,1684.0,8565648.0
54000.0,12.81935,2.3269899373223726E-5,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,1719.0,8575728.0
55000.0,13.031443753,2.374092919429663E-5,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,1750.0,8584656.0
56000.0,13.242425875,2.4209914665886717E-5,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,1777.0,8592432.0
57000.0,13.451902499,2.467595940153396E-5,57000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1803.0,8599920.0
58000.0,13.665057339,2.5150743296760775E-5,58000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1838.0,8610000.0
59000.0,13.876585933,2.5622346153284343E-5,59000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,1866.0,8618064.0
60000.0,14.088385708,2.6095223394278977E-5,60000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1894.0,8630288.0
61000.0,14.302285208,2.657329858696349E-5,61000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,1926.0,8639504.0
62000.0,14.517742487,2.7055433388614297E-5,62000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,9.0,1962.0,8649872.0
