learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.05950168,5.981153493126233E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,48.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.172393994,1.8013512666618657E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,99.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.231288489,2.4309657132275815E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,138.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.293107591,3.094327870985907E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,184.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.339843597,3.598188290095371E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,243.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.37907147,4.023246917966546E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,304.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.419636803,4.46432573174499E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,358.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.45579409,4.8598916149201496E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,427.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.490821486,5.2444881928666604E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,483.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.525709174,5.6287060539842485E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,531.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.560579373,6.015033454139614E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,585.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.59624443,6.4118278803219E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,652.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.631544077,6.805725810130025E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,700.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.666738825,7.199757026791161E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,753.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.702431828,7.60075534077527E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,809.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.737863855,8.001571568559236E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,859.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.773679481,8.407868680223203E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,905.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.80923124,8.81209953473881E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,943.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.844926206,9.219214549069604E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,993.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.881907585,9.64234865455971E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1045.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.918788157,1.00656192922855E-7,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1096.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.955432506,1.048768046709295E-7,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1154.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.992503806,1.0916216641601383E-7,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1215.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.029029241,1.1341829312861794E-7,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1256.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.065559326,1.1768894821401272E-7,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1311.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.102329998,1.219989927348412E-7,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1355.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.139376922,1.2635537230969305E-7,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1409.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.176220816,1.3070221285142834E-7,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1465.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.21305533,1.3506014400863813E-7,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1513.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.257942216,1.3982461173951213E-7,30000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,0.0,21.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.291493963,1.4340161715403407E-7,31000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,75.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.324976169,1.4698825525272844E-7,32000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,0.0,140.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.358534897,1.505983007238205E-7,33000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,193.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.392545265,1.542764283914595E-7,34000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,257.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.426404375,1.5794772812387388E-7,35000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,297.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.460351895,1.6164090918561856E-7,36000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,350.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.490996417,1.6499137072536057E-7,37000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,400.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.514887184,1.6761148253291428E-7,38000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,1.0,449.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.538739453,1.702360604499135E-7,39000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,0.0,501.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.564719504,1.731028873170146E-7,40000.0,13.0,0.0,1.0,9696.0,745.8461538461538,0.9166666666666666,0.0,1.0,0.0,546.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.588846492,1.7577856600559207E-7,41000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,1.0,584.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.613346377,1.7850447229818952E-7,42000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,1.0,637.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.637678378,1.812204113537652E-7,43000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,0.0,688.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.662095002,1.8395327488457985E-7,44000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,0.0,732.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.686436008,1.8668497933025154E-7,45000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,0.0,775.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.710998178,1.89449790167498E-7,46000.0,13.0,0.0,2.0,4848.0,745.8461538461538,0.9166666666666666,0.5,1.0,0.0,824.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.740498169,1.9258683340510553E-7,47000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,44.0,1824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.764395809,1.951369235889199E-7,48000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,88.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.787931983,1.976561871294304E-7,49000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,128.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.81147576,2.0018527885146845E-7,50000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,171.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.835248385,2.0274653040621008E-7,51000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,217.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.859079815,2.0532689189523036E-7,52000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,1.0,275.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.882894845,2.0791380729010114E-7,53000.0,24.0,0.0,2.0,7848.0,654.0,741.4545454545455,0.0,2.0,0.0,326.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
