learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.236407939,6.739955734243202E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17.0,1120832.0
2000.0,0.513529638,1.5812439371098867E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,37.0,1266264.0
3000.0,0.670840002,2.1257930372655186E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,59.0,1338080.0
4000.0,0.796430578,2.598346001308805E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,81.0,1454440.0
5000.0,0.88741354,2.948022630884519E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,101.0,1485624.0
6000.0,0.989728526,3.3475006460400297E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,123.0,1509232.0
7000.0,1.092775831,3.7589103136904743E-7,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,136.0,1543264.0
8000.0,1.184307451,4.134405216535946E-7,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,149.0,1585752.0
9000.0,1.292170856,4.5923020420870015E-7,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,170.0,1640952.0
10000.0,1.41971569,5.145530446033345E-7,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,188.0,1676656.0
11000.0,1.539858223,5.671295952022117E-7,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,204.0,1691600.0
12000.0,1.670853784,6.253982741750135E-7,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,229.0,1719416.0
13000.0,1.800060127,6.83802726820488E-7,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,250.0,1747288.0
14000.0,1.902846376,7.30980471970319E-7,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,269.0,1774208.0
15000.0,1.976440181,7.65103887880844E-7,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,292.0,1792312.0
16000.0,2.05039091,7.997374656120522E-7,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,308.0,1810328.0
17000.0,2.124356672,8.34571883030182E-7,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,325.0,1820456.0
18000.0,2.204518744,8.726587692233382E-7,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,346.0,1836576.0
19000.0,2.313074345,9.248366246666408E-7,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,364.0,1857960.0
20000.0,2.393378497,9.637349183557327E-7,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,384.0,1872384.0
21000.0,2.471705577,1.0023160254011943E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,406.0,1903992.0
22000.0,2.553996777,1.043660222515503E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,429.0,1942064.0
23000.0,2.634381812,1.0845227080990952E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,451.0,1964952.0
24000.0,2.71906185,1.128081636396692E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,475.0,1988376.0
25000.0,2.821740083,1.1815509066047725E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,497.0,2012928.0
26000.0,3.286129988,1.6187205962238789E-6,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,520.0,3638896.0
27000.0,3.447675777,1.7709204141000448E-6,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,543.0,3641840.0
28000.0,3.638080914,1.9504108492060665E-6,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,559.0,3643888.0
29000.0,3.800185025,2.1033567707499403E-6,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,584.0,3647088.0
30000.0,3.936484257,2.232054972826031E-6,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,606.0,3649904.0
31000.0,4.118853219,2.404416774466348E-6,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,633.0,3653360.0
32000.0,4.298387085,2.5742357864379256E-6,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,656.0,3656304.0
33000.0,4.438308089,2.7066456823012765E-6,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,669.0,3657968.0
34000.0,4.577525793,2.8384730122736958E-6,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,687.0,3660272.0
35000.0,4.717295792,2.97091125636931E-6,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,706.0,3662704.0
