learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.075288063,7.963007646333426E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,41.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.159861895,1.7353607851629042E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,76.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.235835795,2.5643405198668024E-8,3000.0,49.0,0.0,0.0,?,0.0,0.9795918367346939,?,0.0,3.0,12.0,24792.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.294940339,3.215478626365256E-8,4000.0,142.0,0.0,0.0,?,0.0,8.669014084507042,?,0.0,2.0,9.0,28960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.325745984,3.556398620821536E-8,5000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,0.0,31.0,30240.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.361336944,3.9518972557129134E-8,6000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,2.0,85.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.395833434,4.3364403352604976E-8,7000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,4.0,127.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.430153122,4.7202413362976584E-8,8000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,3.0,166.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.461856247,5.075981730999633E-8,9000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,5.0,209.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.489240152,5.384316010292827E-8,10000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,5.0,247.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.516274361,5.6893002976702746E-8,11000.0,191.0,0.0,0.0,?,0.0,9.31413612565445,?,0.0,2.0,278.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
