learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.037127511,3.6092960310727364E-9,1000.0,24.0,0.0,0.0,?,0.0,0.9583333333333334,?,0.0,0.0,15.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.114484221,1.1566321242190899E-8,2000.0,44.0,0.0,0.0,?,0.0,17.977272727272727,?,0.0,0.0,25.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.168102032,1.7079087022011066E-8,3000.0,84.0,0.0,0.0,?,0.0,21.845238095238095,?,0.0,1.0,21.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.207430263,2.1124935194411212E-8,4000.0,108.0,0.0,0.0,?,0.0,23.925925925925927,?,0.0,0.0,27.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.241067219,2.45791736186213E-8,5000.0,286.0,0.0,0.0,?,0.0,15.426573426573427,?,0.0,1.0,3.0,2320.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.26387176,2.692686456796817E-8,6000.0,286.0,0.0,0.0,?,0.0,15.426573426573427,?,0.0,1.0,35.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.294406368,3.0066941018375677E-8,7000.0,360.0,0.0,0.0,?,0.0,16.208333333333332,?,0.0,1.0,23.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.32459606,3.3168298467230056E-8,8000.0,417.0,0.0,0.0,?,0.0,17.227817745803357,?,0.0,0.0,9.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.346699935,3.544426869152114E-8,9000.0,417.0,0.0,0.0,?,0.0,17.227817745803357,?,0.0,1.0,38.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.369948491,3.783016427979494E-8,10000.0,433.0,0.0,0.0,?,0.0,21.678983833718245,?,0.0,0.0,2.0,2088.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.392795645,4.017623702491944E-8,11000.0,517.0,0.0,0.0,?,0.0,20.034816247582206,?,0.0,1.0,2.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.415672086,4.252787376347722E-8,12000.0,591.0,0.0,0.0,?,0.0,18.43993231810491,?,0.0,0.0,18.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.437205419,4.4745631762157295E-8,13000.0,591.0,0.0,0.0,?,0.0,18.43993231810491,?,0.0,1.0,42.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.460224329,4.7112342692164496E-8,14000.0,605.0,0.0,0.0,?,0.0,21.158677685950412,?,0.0,1.0,21.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.481906747,4.9348237423654645E-8,15000.0,605.0,0.0,0.0,?,0.0,21.158677685950412,?,0.0,0.0,56.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.504673746,5.168650347632252E-8,16000.0,666.0,0.0,0.0,?,0.0,23.073573573573572,?,0.0,0.0,5.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.527299109,5.4012470547070515E-8,17000.0,717.0,0.0,0.0,?,0.0,22.421199442119946,?,0.0,0.0,19.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.551282628,5.647984775352809E-8,18000.0,727.0,0.0,0.0,?,0.0,23.990371389270976,?,0.0,1.0,1.0,2160.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.574172015,5.883153626197121E-8,19000.0,804.0,0.0,0.0,?,0.0,22.446517412935325,?,0.0,0.0,11.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.597258045,6.120400150253333E-8,20000.0,972.0,0.0,0.0,?,0.0,19.531893004115226,?,0.0,1.0,14.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.620959532,6.363780190802903E-8,21000.0,999.0,0.0,1.0,954.0,0.954954954954955,20.46192384769539,0.0,1.0,0.0,2.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.644023044,6.600609149499692E-8,22000.0,1018.0,0.0,1.0,954.0,0.93713163064833,21.06489675516224,0.0,1.0,0.0,2.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.666583158,6.832310959257392E-8,23000.0,1048.0,0.0,1.0,954.0,0.9103053435114504,21.2865329512894,0.0,1.0,1.0,5.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.689292838,7.065760374788815E-8,24000.0,1116.0,0.0,1.0,954.0,0.8548387096774194,20.673542600896862,0.0,1.0,0.0,18.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.71193054,7.298343377780375E-8,25000.0,1139.0,0.0,1.0,954.0,0.8375768217734855,21.02724077328647,0.0,1.0,1.0,11.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.734453239,7.529898646678153E-8,26000.0,1167.0,0.0,1.0,954.0,0.8174807197943444,21.384219554030874,0.0,1.0,0.0,20.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.757102416,7.76272610760749E-8,27000.0,1190.0,0.0,1.0,954.0,0.8016806722689076,21.727502102607232,0.0,1.0,0.0,18.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.77853464,7.983407339583046E-8,28000.0,1190.0,0.0,1.0,954.0,0.8016806722689076,21.727502102607232,0.0,1.0,0.0,38.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.800849269,8.212809591604188E-8,29000.0,1193.0,0.0,1.0,954.0,0.7996647108130763,23.423657718120804,0.0,1.0,0.0,19.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.824356629,8.454210823522258E-8,30000.0,1212.0,0.0,1.0,954.0,0.7871287128712872,24.267547481420312,0.0,1.0,1.0,3.0,2320.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.84690396,8.685809344972792E-8,31000.0,1227.0,0.0,1.0,954.0,0.7775061124694377,24.759380097879284,0.0,1.0,1.0,7.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.869310623,8.916074267631601E-8,32000.0,1244.0,0.0,1.0,954.0,0.7668810289389068,24.90748189863234,0.0,1.0,0.0,14.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.892377544,9.152952553664435E-8,33000.0,1278.0,0.0,1.0,954.0,0.7464788732394366,25.355520751761944,0.0,1.0,1.0,3.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.915063499,9.386571251207132E-8,34000.0,1278.0,0.0,1.0,954.0,0.7464788732394366,25.355520751761944,0.0,1.0,0.0,40.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
