learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.015548304,1.3347790678342182E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,41.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.106397702,9.519959682089588E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,79.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.151364685,1.3571311541715017E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,116.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.189610367,1.7017100086019688E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,150.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.220748545,1.982252991318082E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,182.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.240708676,2.1622926267373068E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,215.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.264037174,2.372714806571603E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,266.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.284662265,2.5587523563315887E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,306.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.304978981,2.742008375120039E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,358.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.325202278,2.9244217580209178E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,400.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.345076913,3.103690222716373E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,444.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.364880885,3.282321309793534E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,482.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.38464791,3.460619136311942E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,521.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.404408827,3.638861868898695E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,564.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.42415638,3.816984058705055E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,595.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.44409112,3.996794668253511E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,636.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.463967005,4.176074407902236E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,677.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.483614216,4.3532915166198385E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,726.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.502950884,4.527707539086955E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,771.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.528223396,4.757176242039022E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,817.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
21000.0,0.548879625,4.9453072659830675E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,855.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,0.569014423,5.128689245561553E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,901.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.589027022,5.310958271609414E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,934.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
24000.0,0.60937525,5.496284110565154E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,978.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
25000.0,0.633647925,5.7161872410892213E-8,25000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,17.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.65435008,5.90374253497811E-8,26000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,65.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.674563816,6.086872899718998E-8,27000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,95.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.694476282,6.267273848928513E-8,28000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,131.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.714301314,6.446882672411702E-8,29000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,174.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.734181238,6.626988800894884E-8,30000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,217.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.753828616,6.804988132603882E-8,31000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,251.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.773437122,6.982635295691591E-8,32000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,299.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.792830248,7.158331180798926E-8,33000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,330.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.81209585,7.332871736845209E-8,34000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,371.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.831608885,7.509653961405366E-8,35000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,403.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.851149799,7.686688761315206E-8,36000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,444.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.870445657,7.861503427615804E-8,37000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,485.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.889683193,8.035789714148683E-8,38000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,521.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.909118642,8.211869032898712E-8,39000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,1.0,567.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.932493166,8.42504292867995E-8,40000.0,103.0,0.0,1.0,4650.0,45.14563106796116,0.9901960784313726,0.0,1.0,0.0,609.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
41000.0,0.952665669,8.609014634463936E-8,41000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,650.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
42000.0,0.9727094,8.791811949320966E-8,42000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,0.0,684.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
43000.0,0.990642749,8.955362739520354E-8,43000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,725.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
44000.0,1.0028795,9.066960985643996E-8,44000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,0.0,762.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
45000.0,1.014884076,9.176441813280186E-8,45000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,796.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
46000.0,1.026920361,9.286211824604622E-8,46000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,0.0,852.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
47000.0,1.040609808,9.411058548673988E-8,47000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,882.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
48000.0,1.052610621,9.520505058034013E-8,48000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,909.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
49000.0,1.064641814,9.630228630702529E-8,49000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,0.0,948.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
50000.0,1.076881301,9.7418518289398E-8,50000.0,103.0,0.0,2.0,2325.0,45.14563106796116,0.9901960784313726,0.5,1.0,1.0,992.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
51000.0,1.091478331,9.874096527694829E-8,51000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,1.0,38.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.103769213,9.985448219615967E-8,52000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,1.0,79.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.11574534,1.0093948325964106E-7,53000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,0.0,104.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.127685235,1.0202120181296435E-7,54000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,0.0,148.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.139597079,1.0310037903010846E-7,55000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,1.0,183.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.154633216,1.0447166338301782E-7,56000.0,193.0,0.0,2.0,7430.5,77.0,134.282722513089,0.0,2.0,1.0,228.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
