learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.183308544,5.466396774768829E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17.0,1172608.0
2000.0,0.360308702,1.1270635829833231E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,35.0,1267576.0
3000.0,0.524512778,1.7333714132979098E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,63.0,1427288.0
4000.0,0.644789671,2.2108782038876786E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,80.0,1534616.0
5000.0,0.738958964,2.615774897163485E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,97.0,1662024.0
6000.0,0.836345437,3.061201921414687E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,122.0,1767992.0
7000.0,0.9124249,3.4173183202974907E-7,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,130.0,1809368.0
8000.0,0.995313831,3.8322880640658236E-7,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,152.0,1935184.0
9000.0,1.099606622,4.387594543263254E-7,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,172.0,2058168.0
10000.0,1.178735252,4.827438031140653E-7,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,191.0,2148656.0
11000.0,1.261048782,5.312940577623269E-7,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,215.0,2279936.0
12000.0,1.363316565,5.939673436963579E-7,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,231.0,2368896.0
13000.0,1.490618864,6.745907051218094E-7,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,246.0,2448088.0
14000.0,1.619644769,7.605012829337621E-7,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,272.0,2573784.0
15000.0,1.738207875,8.427743684541372E-7,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,292.0,2682320.0
16000.0,1.82705775,9.072186124497652E-7,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,313.0,2803688.0
17000.0,1.911265805,9.710210722678383E-7,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,341.0,2928776.0
18000.0,1.995463419,1.0365724688035603E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,358.0,3009432.0
